Text_Type,Book,Chapter,Window,Mean,StDev,normalised
SN,CS,shareera,466,30.14,20.33,0
SN,CS,shareera,464,30.16,20.5,0.026065424
SN,CS,shareera,463,30.18,19.79,0.052130848
SN,CS,shareera,465,30.48,21.21,0.443112212
SN,CS,shareera,467,30.71,20.8,0.74286459
SN,CS,shareera,462,30.74,20.43,0.781962726
SN,CS,shareera,704,30.81,18.75,0.873191711
SN,CS,shareera,468,30.86,20.33,0.938355272
SN,CS,shareera,469,31.08,20.24,1.225074938
SN,CS,shareera,470,31.3,20.04,1.511794604
SN,CS,shareera,461,31.31,21.97,1.524827317
SN,CS,shareera,703,31.5,19.71,1.772448847
SN,CS,shareera,394,31.71,17.21,2.046135801
SN,CS,shareera,459,31.75,25.03,2.098266649
SN,CS,shareera,471,31.75,20.49,2.098266649
SN,CS,shareera,395,32,18.69,2.424084452
SN,CS,shareera,393,32.13,15.82,2.593509709
SN,CS,shareera,396,32.17,20.27,2.645640558
SN,CS,shareera,702,32.19,19.9,2.671705982
SN,CS,shareera,460,32.28,24.05,2.789000391
SN,CS,shareera,706,32.62,23.92,3.232112603
SN,CS,shareera,705,32.65,23.02,3.271210739
SN,CS,shareera,473,32.91,23.83,3.610061254
SN,CS,shareera,474,32.97,24.79,3.688257526
SN,CS,shareera,392,33.12,11.91,3.883748208
SN,CS,shareera,701,33.23,21.75,4.027108041
SN,CS,shareera,472,33.34,22.91,4.170467874
SN,CS,shareera,707,33.68,24.85,4.613580086
SN,CS,shareera,391,33.78,11.68,4.743907207
SN,CS,shareera,700,33.85,21.95,4.835136192
SN,CS,shareera,699,34.26,23.19,5.369477388
SN,CS,shareera,475,34.38,25.78,5.525869934
SN,CS,shareera,390,34.51,11.04,5.695295191
SN,CS,shareera,397,34.56,24.17,5.760458751
SN,CS,shareera,458,34.69,29.25,5.929884009
SN,CS,shareera,560,35.36,26.97,6.80307572
SN,CS,shareera,561,35.61,26.18,7.128893523
SN,CS,shareera,476,35.63,27.17,7.154958947
SN,CS,shareera,615,35.8,16.89,7.376515053
SN,CS,shareera,614,35.82,16.64,7.402580477
SN,CS,shareera,559,36.01,27.74,7.650202007
SN,CS,shareera,697,36.06,25.79,7.715365568
SN,CS,shareera,698,36.11,25.75,7.780529128
SN,CS,shareera,613,36.17,17.61,7.858725401
SN,CS,shareera,519,36.24,30.1,7.949954386
SN,CS,shareera,634,36.52,19.74,8.314870325
SN,CS,shareera,477,36.53,27.81,8.327903037
SN,CS,shareera,457,36.69,31.48,8.53642643
SN,CS,shareera,562,36.72,26.31,8.575524567
SN,CS,shareera,579,36.79,27.52,8.666753551
SN,CS,shareera,516,36.83,31.25,8.7188844
SN,CS,shareera,696,36.86,25.6,8.757982536
SN,CS,shareera,398,36.89,26.96,8.797080672
SN,CS,shareera,558,37.01,28.95,8.953473218
SN,CS,shareera,616,37.06,17.57,9.018636778
SN,CS,shareera,617,37.08,17.95,9.044702203
SN,CS,shareera,478,37.09,27.44,9.057734915
SN,CS,shareera,479,37.36,29.11,9.409618142
SN,CS,shareera,514,37.39,32.04,9.448716278
SN,CS,shareera,515,37.42,31.63,9.487814414
SN,CS,shareera,389,37.47,11,9.552977975
SN,CS,shareera,714,37.47,26.72,9.552977975
SN,CS,shareera,518,37.5,30.5,9.592076111
SN,CS,shareera,578,37.53,28.02,9.631174247
SN,CS,shareera,513,37.61,31.68,9.735435944
SN,CS,shareera,712,37.61,26.53,9.735435944
SN,CS,shareera,708,37.68,29.8,9.826664929
SN,CS,shareera,563,37.79,26.87,9.970024762
SN,CS,shareera,871,37.83,29.8,10.02215561
SN,CS,shareera,557,37.87,29.93,10.07428646
SN,CS,shareera,580,37.88,29.13,10.08731917
SN,CS,shareera,715,37.93,27.63,10.15248273
SN,CS,shareera,424,38.07,32.66,10.3349407
SN,CS,shareera,547,38.1,30.21,10.37403884
SN,CS,shareera,480,38.19,29.8,10.49133325
SN,CS,shareera,456,38.26,33.56,10.58256223
SN,CS,shareera,581,38.32,29.98,10.6607585
SN,CS,shareera,695,38.34,29.69,10.68682393
SN,CS,shareera,505,38.39,31.64,10.75198749
SN,CS,shareera,517,38.39,33.04,10.75198749
SN,CS,shareera,556,38.4,30.79,10.7650202
SN,CS,shareera,711,38.48,28.09,10.8692819
SN,CS,shareera,633,38.53,20.34,10.93444546
SN,CS,shareera,506,38.59,31.78,11.01264173
SN,CS,shareera,713,38.65,27.39,11.090838
SN,CS,shareera,399,38.66,29.71,11.10387072
SN,CS,shareera,510,38.72,32.89,11.18206699
SN,CS,shareera,564,38.75,26.79,11.22116512
SN,CS,shareera,512,38.8,30.87,11.28632868
SN,CS,shareera,635,38.87,20.79,11.37755767
SN,CS,shareera,710,38.87,28.52,11.37755767
SN,CS,shareera,709,38.89,29.54,11.40362309
SN,CS,shareera,546,38.93,32.03,11.45575394
SN,CS,shareera,753,38.99,32.13,11.53395022
SN,CS,shareera,388,39.03,11.94,11.58608106
SN,CS,shareera,716,39.03,28.6,11.58608106
SN,CS,shareera,425,39.07,33.57,11.63821191
SN,CS,shareera,548,39.08,29.56,11.65124462
SN,CS,shareera,612,39.11,20.81,11.69034276
SN,CS,shareera,873,39.12,27.67,11.70337547
SN,CS,shareera,294,39.13,24.54,11.71640818
SN,CS,shareera,577,39.14,31.02,11.7294409
SN,CS,shareera,905,39.14,29.79,11.7294409
SN,CS,shareera,481,39.21,31.59,11.82066988
SN,CS,shareera,295,39.22,23.97,11.83370259
SN,CS,shareera,632,39.25,21,11.87280073
SN,CS,shareera,870,39.27,30.66,11.89886615
SN,CS,shareera,752,39.31,33.02,11.950997
SN,CS,shareera,582,39.39,30.16,12.0552587
SN,CS,shareera,901,39.43,27.91,12.10738955
SN,CS,shareera,902,39.44,29.61,12.12042226
SN,CS,shareera,863,39.46,29.72,12.14648768
SN,CS,shareera,482,39.47,31.15,12.1595204
SN,CS,shareera,520,39.47,32.96,12.1595204
SN,CS,shareera,555,39.48,31.48,12.17255311
SN,CS,shareera,545,39.5,34.43,12.19861853
SN,CS,shareera,565,39.52,26.49,12.22468396
SN,CS,shareera,862,39.55,31.25,12.26378209
SN,CS,shareera,549,39.63,29.47,12.36804379
SN,CS,shareera,511,39.66,33.27,12.40714193
SN,CS,shareera,504,39.69,31.57,12.44624006
SN,CS,shareera,293,39.73,25.17,12.49837091
SN,CS,shareera,864,39.75,29.35,12.52443634
SN,CS,shareera,483,39.89,31.85,12.7068943
SN,CS,shareera,894,39.9,29.11,12.71992702
SN,CS,shareera,552,39.93,32.1,12.75902515
SN,CS,shareera,503,39.95,28.77,12.78509058
SN,CS,shareera,874,39.95,27.95,12.78509058
SN,CS,shareera,872,40,31.25,12.85025414
SN,CS,shareera,423,40.03,35.07,12.88935227
SN,CS,shareera,611,40.03,21.43,12.88935227
SN,CS,shareera,455,40.06,34.98,12.92845041
SN,CS,shareera,507,40.12,33.21,13.00664668
SN,CS,shareera,551,40.17,30.32,13.07181024
SN,CS,shareera,610,40.17,22.72,13.07181024
SN,CS,shareera,865,40.17,30.37,13.07181024
SN,CS,shareera,296,40.18,23.8,13.08484296
SN,CS,shareera,866,40.18,32.53,13.08484296
SN,CS,shareera,636,40.22,23.44,13.1369738
SN,CS,shareera,867,40.22,33.08,13.1369738
SN,CS,shareera,895,40.23,28.44,13.15000652
SN,CS,shareera,903,40.28,30.21,13.21517008
SN,CS,shareera,297,40.42,23.09,13.39762805
SN,CS,shareera,583,40.44,30.17,13.42369347
SN,CS,shareera,757,40.5,33.78,13.50188974
SN,CS,shareera,869,40.51,31.11,13.51492246
SN,CS,shareera,501,40.52,29.23,13.52795517
SN,CS,shareera,500,40.56,30.3,13.58008602
SN,CS,shareera,502,40.57,30.14,13.59311873
SN,CS,shareera,904,40.6,30.67,13.63221686
SN,CS,shareera,750,40.68,33.64,13.73647856
SN,CS,shareera,508,40.71,33.43,13.7755767
SN,CS,shareera,609,40.78,23.42,13.86680568
SN,CS,shareera,575,40.8,32.25,13.89287111
SN,CS,shareera,292,40.84,26.44,13.94500195
SN,CS,shareera,400,40.84,30.46,13.94500195
SN,CS,shareera,566,40.93,28.73,14.06229636
SN,CS,shareera,291,40.95,27.33,14.08836179
SN,CS,shareera,509,40.95,33.77,14.08836179
SN,CS,shareera,550,40.95,31.13,14.08836179
SN,CS,shareera,900,40.98,28.64,14.12745992
SN,CS,shareera,751,41.02,34.28,14.17959077
SN,CS,shareera,401,41.12,31.03,14.30991789
SN,CS,shareera,570,41.13,32.37,14.32295061
SN,CS,shareera,631,41.17,23.63,14.37508145
SN,CS,shareera,484,41.19,33.37,14.40114688
SN,CS,shareera,569,41.22,29.93,14.44024501
SN,CS,shareera,290,41.25,27.88,14.47934315
SN,CS,shareera,553,41.25,33.43,14.47934315
SN,CS,shareera,758,41.27,32.58,14.50540858
SN,CS,shareera,637,41.32,25.93,14.57057214
SN,CS,shareera,756,41.32,33.96,14.57057214
SN,CS,shareera,454,41.35,36.49,14.60967027
SN,CS,shareera,897,41.41,28.19,14.68786655
SN,CS,shareera,426,41.48,35.79,14.77909553
SN,CS,shareera,755,41.48,34.39,14.77909553
SN,CS,shareera,574,41.49,33.42,14.79212824
SN,CS,shareera,893,41.49,28.35,14.79212824
SN,CS,shareera,896,41.52,29.64,14.83122638
SN,CS,shareera,754,41.58,32.44,14.90942265
SN,CS,shareera,403,41.6,33.55,14.93548808
SN,CS,shareera,576,41.6,32.99,14.93548808
SN,CS,shareera,762,41.6,34.7,14.93548808
SN,CS,shareera,909,41.6,32.94,14.93548808
SN,CS,shareera,868,41.62,33.54,14.9615535
SN,CS,shareera,535,41.65,37.2,15.00065164
SN,CS,shareera,539,41.67,36.85,15.02671706
SN,CS,shareera,554,41.69,34.23,15.05278248
SN,CS,shareera,538,41.71,35.81,15.07884791
SN,CS,shareera,298,41.73,23.33,15.10491333
SN,CS,shareera,584,41.74,31.08,15.11794604
SN,CS,shareera,875,41.75,31.22,15.13097876
SN,CS,shareera,906,41.77,33.15,15.15704418
SN,CS,shareera,891,41.8,26.87,15.19614232
SN,CS,shareera,521,41.81,36.71,15.20917503
SN,CS,shareera,422,41.83,36.93,15.23524045
SN,CS,shareera,533,41.85,36.37,15.26130588
SN,CS,shareera,536,41.85,36.59,15.26130588
SN,CS,shareera,532,41.87,37.11,15.2873713
SN,CS,shareera,861,41.91,32.28,15.33950215
SN,CS,shareera,402,42,31.9,15.45679656
SN,CS,shareera,639,42,26.7,15.45679656
SN,CS,shareera,404,42.06,33.94,15.53499283
SN,CS,shareera,898,42.06,27.66,15.53499283
SN,CS,shareera,572,42.1,32.87,15.58712368
SN,CS,shareera,499,42.13,30.47,15.62622182
SN,CS,shareera,568,42.13,31.09,15.62622182
SN,CS,shareera,860,42.15,30.93,15.65228724
SN,CS,shareera,567,42.16,31.31,15.66531995
SN,CS,shareera,418,42.18,37.04,15.69138538
SN,CS,shareera,419,42.18,37.25,15.69138538
SN,CS,shareera,534,42.27,36.64,15.80867979
SN,CS,shareera,892,42.46,26.59,16.05630132
SN,CS,shareera,907,42.49,34.36,16.09539945
SN,CS,shareera,890,42.53,29.43,16.1475303
SN,CS,shareera,761,42.54,35.15,16.16056301
SN,CS,shareera,760,42.58,33.98,16.21269386
SN,CS,shareera,763,42.58,35.05,16.21269386
SN,CS,shareera,585,42.62,31.63,16.26482471
SN,CS,shareera,638,42.63,27.21,16.27785742
SN,CS,shareera,299,42.69,23.58,16.35605369
SN,CS,shareera,781,42.72,36.15,16.39515183
SN,CS,shareera,718,42.74,30.53,16.42121726
SN,CS,shareera,543,42.79,37.36,16.48638082
SN,CS,shareera,694,42.79,33.64,16.48638082
SN,CS,shareera,640,42.8,29.18,16.49941353
SN,CS,shareera,453,42.82,38.54,16.52547895
SN,CS,shareera,571,42.86,32.94,16.5776098
SN,CS,shareera,908,42.91,33.71,16.64277336
SN,CS,shareera,529,42.92,36.86,16.65580607
SN,CS,shareera,537,42.94,37.43,16.6818715
SN,CS,shareera,289,42.96,29.41,16.70793692
SN,CS,shareera,420,42.97,38.25,16.72096963
SN,CS,shareera,531,42.97,37.3,16.72096963
SN,CS,shareera,592,42.97,30.87,16.72096963
SN,CS,shareera,693,42.99,34.54,16.74703506
SN,CS,shareera,542,43.02,37.41,16.78613319
SN,CS,shareera,759,43.03,34.5,16.79916591
SN,CS,shareera,877,43.04,31.37,16.81219862
SN,CS,shareera,427,43.07,36.68,16.85129675
SN,CS,shareera,608,43.08,24.32,16.86432947
SN,CS,shareera,607,43.09,24.21,16.87736218
SN,CS,shareera,782,43.1,36.95,16.89039489
SN,CS,shareera,899,43.13,29.02,16.92949303
SN,CS,shareera,945,43.14,31.03,16.94252574
SN,CS,shareera,485,43.18,34.57,16.99465659
SN,CS,shareera,586,43.18,32.99,16.99465659
SN,CS,shareera,606,43.2,24.53,17.02072201
SN,CS,shareera,405,43.25,34.79,17.08588557
SN,CS,shareera,770,43.25,38.21,17.08588557
SN,CS,shareera,541,43.26,37.58,17.09891828
SN,CS,shareera,540,43.32,37.73,17.17711456
SN,CS,shareera,587,43.37,32.58,17.24227812
SN,CS,shareera,573,43.41,33.36,17.29440897
SN,CS,shareera,666,43.43,36.47,17.32047439
SN,CS,shareera,719,43.53,32.18,17.45080151
SN,CS,shareera,769,43.54,38.04,17.46383422
SN,CS,shareera,765,43.57,37.11,17.50293236
SN,CS,shareera,780,43.6,36.13,17.5420305
SN,CS,shareera,882,43.6,28.4,17.5420305
SN,CS,shareera,605,43.61,25.03,17.55506321
SN,CS,shareera,717,43.71,31.05,17.68539033
SN,CS,shareera,301,43.72,22.81,17.69842304
SN,CS,shareera,498,43.74,31.19,17.72448847
SN,CS,shareera,881,43.82,29.82,17.82875016
SN,CS,shareera,771,43.92,39.06,17.95907728
SN,CS,shareera,421,43.95,38.96,17.99817542
SN,CS,shareera,889,44.01,30.89,18.07637169
SN,CS,shareera,588,44.03,36.07,18.10243712
SN,CS,shareera,766,44.03,37.72,18.10243712
SN,CS,shareera,876,44.14,32.29,18.24579695
SN,CS,shareera,742,44.16,33.64,18.27186237
SN,CS,shareera,630,44.2,26.79,18.32399322
SN,CS,shareera,880,44.21,29.7,18.33702594
SN,CS,shareera,544,44.25,38.94,18.38915678
SN,CS,shareera,300,44.34,24.13,18.50645119
SN,CS,shareera,883,44.41,27.81,18.59768018
SN,CS,shareera,878,44.47,30.3,18.67587645
SN,CS,shareera,720,44.48,33.46,18.68890916
SN,CS,shareera,530,44.54,38.57,18.76710543
SN,CS,shareera,944,44.55,32.76,18.78013815
SN,CS,shareera,879,44.58,28.66,18.81923628
SN,CS,shareera,406,44.59,36.22,18.832269
SN,CS,shareera,527,44.61,38.36,18.85833442
SN,CS,shareera,629,44.62,28.14,18.87136713
SN,CS,shareera,859,44.67,33.6,18.93653069
SN,CS,shareera,604,44.68,26.55,18.9495634
SN,CS,shareera,589,44.7,36.16,18.97562883
SN,CS,shareera,888,44.7,30.99,18.97562883
SN,CS,shareera,692,44.75,37.13,19.04079239
SN,CS,shareera,590,44.76,35.83,19.0538251
SN,CS,shareera,407,44.8,36.58,19.10595595
SN,CS,shareera,663,44.81,33.88,19.11898866
SN,CS,shareera,749,44.85,33.13,19.17111951
SN,CS,shareera,884,44.91,29.2,19.24931578
SN,CS,shareera,772,44.95,39.22,19.30144663
SN,CS,shareera,643,45.01,35.01,19.3796429
SN,CS,shareera,886,45.06,29.78,19.44480646
SN,CS,shareera,428,45.11,38.54,19.50997002
SN,CS,shareera,497,45.14,31.31,19.54906816
SN,CS,shareera,644,45.2,35.53,19.62726443
SN,CS,shareera,775,45.22,39.11,19.65332986
SN,CS,shareera,591,45.25,33.41,19.69242799
SN,CS,shareera,641,45.25,30.85,19.69242799
SN,CS,shareera,302,45.3,23.78,19.75759155
SN,CS,shareera,108,45.51,32.75,20.03127851
SN,CS,shareera,522,45.52,39.73,20.04431122
SN,CS,shareera,528,45.52,39.71,20.04431122
SN,CS,shareera,764,45.57,38.56,20.10947478
SN,CS,shareera,603,45.59,27.2,20.13554021
SN,CS,shareera,885,45.64,29.38,20.20070377
SN,CS,shareera,107,45.66,32.99,20.22676919
SN,CS,shareera,486,45.68,36.07,20.25283461
SN,CS,shareera,783,45.69,39.15,20.26586733
SN,CS,shareera,525,45.72,39.3,20.30496546
SN,CS,shareera,601,45.78,28.71,20.38316174
SN,CS,shareera,602,45.8,27.05,20.40922716
SN,CS,shareera,743,45.84,33.97,20.46135801
SN,CS,shareera,748,45.85,33.55,20.47439072
SN,CS,shareera,887,45.91,32.13,20.55258699
SN,CS,shareera,106,45.92,33.39,20.56561971
SN,CS,shareera,776,45.97,38.7,20.63078327
SN,CS,shareera,288,46.01,31.68,20.68291411
SN,CS,shareera,773,46.05,40.68,20.73504496
SN,CS,shareera,642,46.06,34.86,20.74807767
SN,CS,shareera,646,46.08,37.91,20.7741431
SN,CS,shareera,387,46.13,18.44,20.83930666
SN,CS,shareera,523,46.14,40.04,20.85233937
SN,CS,shareera,628,46.16,30.56,20.8784048
SN,CS,shareera,645,46.18,36.82,20.90447022
SN,CS,shareera,779,46.25,38.14,20.99569921
SN,CS,shareera,105,46.33,33.77,21.0999609
SN,CS,shareera,747,46.34,34.18,21.11299361
SN,CS,shareera,664,46.35,36.56,21.12602633
SN,CS,shareera,526,46.45,38.88,21.25635345
SN,CS,shareera,943,46.48,33.38,21.29545158
SN,CS,shareera,789,46.55,38.46,21.38668057
SN,CS,shareera,746,46.59,34.94,21.43881142
SN,CS,shareera,109,46.62,33.98,21.47790955
SN,CS,shareera,409,46.72,36.28,21.60823667
SN,CS,shareera,413,46.73,37.69,21.62126939
SN,CS,shareera,524,46.75,40.78,21.64733481
SN,CS,shareera,774,46.79,40.74,21.69946566
SN,CS,shareera,768,46.8,39.05,21.71249837
SN,CS,shareera,452,46.88,39.78,21.81676007
SN,CS,shareera,417,46.95,40.14,21.90798905
SN,CS,shareera,647,46.99,38.62,21.9601199
SN,CS,shareera,648,47.09,38.29,22.09044702
SN,CS,shareera,408,47.1,37.65,22.10347973
SN,CS,shareera,415,47.1,36.96,22.10347973
SN,CS,shareera,429,47.11,40.55,22.11651245
SN,CS,shareera,104,47.12,34.17,22.12954516
SN,CS,shareera,416,47.12,37.75,22.12954516
SN,CS,shareera,600,47.25,30.73,22.29897042
SN,CS,shareera,744,47.29,36.06,22.35110126
SN,CS,shareera,745,47.29,36.47,22.35110126
SN,CS,shareera,767,47.41,39.07,22.50749381
SN,CS,shareera,667,47.48,40.81,22.59872279
SN,CS,shareera,784,47.48,40.65,22.59872279
SN,CS,shareera,492,47.58,35.06,22.72904992
SN,CS,shareera,112,47.62,35.84,22.78118076
SN,CS,shareera,721,47.66,36.02,22.83331161
SN,CS,shareera,303,47.75,23.64,22.95060602
SN,CS,shareera,788,47.75,40.56,22.95060602
SN,CS,shareera,741,47.78,37.19,22.98970416
SN,CS,shareera,286,47.83,32.45,23.05486772
SN,CS,shareera,626,47.83,33.08,23.05486772
SN,CS,shareera,111,47.87,35.96,23.10699857
SN,CS,shareera,740,47.94,37.62,23.19822755
SN,CS,shareera,101,48.07,35.04,23.36765281
SN,CS,shareera,287,48.07,32.94,23.36765281
SN,CS,shareera,665,48.1,39.18,23.40675094
SN,CS,shareera,430,48.13,40.69,23.44584908
SN,CS,shareera,723,48.17,39.94,23.49797993
SN,CS,shareera,431,48.18,41.09,23.51101264
SN,CS,shareera,110,48.19,35.74,23.52404535
SN,CS,shareera,858,48.19,39.27,23.52404535
SN,CS,shareera,627,48.2,32.1,23.53707807
SN,CS,shareera,777,48.23,39.9,23.5761762
SN,CS,shareera,411,48.27,39.61,23.62830705
SN,CS,shareera,942,48.31,35.13,23.6804379
SN,CS,shareera,414,48.35,38.67,23.73256875
SN,CS,shareera,496,48.37,34.58,23.75863417
SN,CS,shareera,786,48.51,41.36,23.94109214
SN,CS,shareera,739,48.52,38.37,23.95412485
SN,CS,shareera,103,48.57,35.06,24.01928841
SN,CS,shareera,493,48.59,37.76,24.04535384
SN,CS,shareera,2,48.62,33.84,24.08445197
SN,CS,shareera,597,48.64,35.01,24.1105174
SN,CS,shareera,494,48.65,36.35,24.12355011
SN,CS,shareera,722,48.67,38.41,24.14961553
SN,CS,shareera,64,48.74,34.95,24.24084452
SN,CS,shareera,386,48.78,22.14,24.29297537
SN,CS,shareera,778,48.78,40.07,24.29297537
SN,CS,shareera,599,48.81,31.98,24.3320735
SN,CS,shareera,304,48.85,23.74,24.38420435
SN,CS,shareera,410,48.85,38.6,24.38420435
SN,CS,shareera,4,48.96,35.26,24.52756419
SN,CS,shareera,63,48.96,35.5,24.52756419
SN,CS,shareera,66,48.97,35.18,24.5405969
SN,CS,shareera,102,48.99,35.34,24.56666232
SN,CS,shareera,100,49.01,36.34,24.59272775
SN,CS,shareera,114,49.02,37.27,24.60576046
SN,CS,shareera,596,49.07,36.25,24.67092402
SN,CS,shareera,65,49.09,34.7,24.69698944
SN,CS,shareera,451,49.1,41.88,24.71002216
SN,CS,shareera,785,49.11,41.82,24.72305487
SN,CS,shareera,662,49.12,36.69,24.73608758
SN,CS,shareera,113,49.23,37.39,24.87944741
SN,CS,shareera,661,49.25,39.04,24.90551284
SN,CS,shareera,857,49.25,41,24.90551284
SN,CS,shareera,1,49.26,32.57,24.91854555
SN,CS,shareera,305,49.42,23.79,25.12706894
SN,CS,shareera,3,49.44,35.36,25.15313437
SN,CS,shareera,649,49.44,39.2,25.15313437
SN,CS,shareera,598,49.5,34.48,25.23133064
SN,CS,shareera,738,49.6,39.1,25.36165776
SN,CS,shareera,121,49.63,37.32,25.4007559
SN,CS,shareera,120,49.65,37.41,25.42682132
SN,CS,shareera,487,49.68,37.8,25.46591946
SN,CS,shareera,412,49.73,40.03,25.53108302
SN,CS,shareera,222,49.77,37.29,25.58321387
SN,CS,shareera,650,49.81,38.96,25.63534472
SN,CS,shareera,67,49.84,35.36,25.67444285
SN,CS,shareera,856,49.84,42.98,25.67444285
SN,CS,shareera,6,49.85,35.8,25.68747556
SN,CS,shareera,668,49.97,42.54,25.84386811
SN,CS,shareera,855,50,43.58,25.88296625
SN,CS,shareera,5,50.07,35.6,25.97419523
SN,CS,shareera,118,50.15,37.69,26.07845693
SN,CS,shareera,122,50.15,37.55,26.07845693
SN,CS,shareera,99,50.19,37.19,26.13058778
SN,CS,shareera,669,50.21,42.41,26.1566532
SN,CS,shareera,736,50.22,39.59,26.16968591
SN,CS,shareera,19,50.23,37.38,26.18271862
SN,CS,shareera,690,50.23,43.54,26.18271862
SN,CS,shareera,854,50.23,43.38,26.18271862
SN,CS,shareera,115,50.27,37.41,26.23484947
SN,CS,shareera,123,50.28,37.83,26.24788218
SN,CS,shareera,61,50.3,36.74,26.27394761
SN,CS,shareera,62,50.31,36.24,26.28698032
SN,CS,shareera,147,50.31,38.02,26.28698032
SN,CS,shareera,654,50.33,41.1,26.31304574
SN,CS,shareera,625,50.38,35.17,26.37820931
SN,CS,shareera,18,50.48,37.13,26.50853643
SN,CS,shareera,167,50.48,38.33,26.50853643
SN,CS,shareera,221,50.52,37.77,26.56066727
SN,CS,shareera,495,50.53,37.62,26.57369999
SN,CS,shareera,117,50.54,37.92,26.5867327
SN,CS,shareera,9,50.55,36.78,26.59976541
SN,CS,shareera,116,50.55,37.8,26.59976541
SN,CS,shareera,285,50.56,35.69,26.61279812
SN,CS,shareera,10,50.6,36.82,26.66492897
SN,CS,shareera,655,50.61,41.65,26.67796168
SN,CS,shareera,74,50.63,35.46,26.70402711
SN,CS,shareera,148,50.66,38,26.74312524
SN,CS,shareera,491,50.68,37.74,26.76919067
SN,CS,shareera,651,50.68,39.76,26.76919067
SN,CS,shareera,213,50.74,36.48,26.84738694
SN,CS,shareera,24,50.75,38.07,26.86041965
SN,CS,shareera,227,50.75,37.23,26.86041965
SN,CS,shareera,98,50.76,36.99,26.87345237
SN,CS,shareera,73,50.77,35.79,26.88648508
SN,CS,shareera,686,50.79,43.05,26.9125505
SN,CS,shareera,489,50.84,38.91,26.97771406
SN,CS,shareera,138,50.85,37.72,26.99074677
SN,CS,shareera,21,50.86,38.72,27.00377949
SN,CS,shareera,151,50.88,37.83,27.02984491
SN,CS,shareera,146,50.89,38.7,27.04287762
SN,CS,shareera,432,50.89,43.12,27.04287762
SN,CS,shareera,124,50.9,38.17,27.05591033
