Text_Type,Book,Chapter,Window,GGL,GLG,GLL,LG,GG,LGG,L,LGL,LLL,GGG,G,LLG,LL
SN,AH,nidana,1,36,46,23,2,1,30,3,54,2,69,40,18,0
SN,AH,nidana,2,35,48,24,2,1,31,3,54,2,69,39,18,0
SN,AH,nidana,3,36,49,24,2,1,31,3,54,2,67,39,18,0
SN,AH,nidana,4,37,48,23,2,1,30,3,55,2,68,39,18,0
SN,AH,nidana,5,37,47,23,2,1,30,3,55,2,68,39,19,0
SN,AH,nidana,6,38,48,23,2,1,28,4,55,2,68,38,19,0
SN,AH,nidana,7,40,48,24,2,1,27,4,55,2,66,38,19,0
SN,AH,nidana,8,42,48,23,2,1,27,4,55,2,64,38,20,0
SN,AH,nidana,9,43,48,23,2,1,27,4,55,2,63,38,20,0
SN,AH,nidana,10,43,49,23,2,1,27,4,54,2,65,37,21,0
SN,AH,nidana,11,43,48,23,2,1,27,4,55,2,65,37,21,0
SN,AH,nidana,12,44,49,22,2,1,27,4,55,2,64,37,21,0
SN,AH,nidana,13,43,50,22,2,1,26,4,56,2,65,37,20,0
SN,AH,nidana,14,43,52,22,2,1,27,4,55,3,66,36,19,0
SN,AH,nidana,15,44,52,21,2,1,25,4,56,3,68,36,18,0
SN,AH,nidana,16,43,51,21,2,1,24,4,56,3,70,36,19,0
SN,AH,nidana,17,44,51,21,2,1,24,4,57,3,68,36,19,0
SN,AH,nidana,18,43,52,20,2,1,24,4,57,3,69,36,19,0
SN,AH,nidana,19,42,51,21,2,1,25,3,57,3,68,37,20,0
SN,AH,nidana,20,41,51,21,1,1,25,3,58,3,69,38,19,0
SN,AH,nidana,21,39,52,21,1,1,26,3,59,3,68,38,19,0
SN,AH,nidana,22,39,55,21,1,1,28,3,57,3,68,37,19,0
SN,AH,nidana,23,38,56,22,1,1,27,3,57,3,68,37,19,0
SN,AH,nidana,24,39,56,22,1,1,26,2,58,3,66,38,20,0
SN,AH,nidana,25,37,56,22,1,1,27,2,58,3,66,38,21,0
SN,AH,nidana,26,36,51,22,1,1,26,2,54,3,61,38,21,0
SN,AH,nidana,27,35,52,22,1,1,28,2,54,3,61,38,19,0
SN,AH,nidana,28,35,53,21,1,1,26,2,56,2,61,39,17,0
SN,AH,nidana,29,36,52,20,1,1,25,2,57,2,62,39,17,0
SN,AH,nidana,30,37,50,21,1,1,25,2,57,2,62,39,17,0
SN,AH,nidana,31,37,50,20,1,1,26,2,57,2,62,39,17,0
SN,AH,nidana,32,37,49,19,1,1,27,2,57,2,63,39,17,0
SN,AH,nidana,33,37,50,17,1,1,26,1,58,2,64,40,17,0
SN,AH,nidana,34,37,52,16,1,1,24,1,57,2,65,40,18,0
SN,AH,nidana,35,39,52,15,1,1,24,1,57,2,64,40,18,0
SN,AH,nidana,36,41,50,14,1,1,22,1,57,2,65,41,17,0
SN,AH,nidana,37,43,49,15,1,1,23,1,56,2,63,41,17,0
SN,AH,nidana,38,44,50,16,1,1,23,2,55,2,61,40,17,0
SN,AH,nidana,39,44,51,15,1,1,24,2,55,1,61,40,17,0
SN,AH,nidana,40,43,49,15,1,1,24,2,55,1,63,40,18,0
SN,AH,nidana,41,42,49,14,1,1,24,2,54,1,65,40,19,0
SN,AH,nidana,42,41,50,13,1,1,24,3,53,1,68,39,18,0
SN,AH,nidana,43,41,49,14,1,1,24,3,53,1,68,39,18,0
SN,AH,nidana,44,43,48,13,0,1,23,3,50,1,68,40,17,0
SN,AH,nidana,45,42,48,12,0,1,22,3,49,1,67,40,17,0
SN,AH,nidana,46,41,45,12,0,1,23,3,51,1,65,41,17,0
SN,AH,nidana,47,41,44,12,0,1,23,3,50,1,63,40,16,0
SN,AH,nidana,48,42,43,12,0,1,24,4,49,1,63,39,16,0
SN,AH,nidana,49,42,43,12,0,0,24,4,49,1,63,40,16,0
SN,AH,nidana,50,43,46,13,0,0,23,4,50,1,61,40,15,0
SN,AH,nidana,51,45,47,13,0,0,23,4,50,1,60,40,15,0
SN,AH,nidana,52,44,45,13,0,0,22,4,51,2,59,41,17,0
SN,AH,nidana,53,43,45,14,0,0,22,4,51,3,59,41,18,0
SN,AH,nidana,54,44,46,14,0,0,22,4,49,3,61,41,18,0
SN,AH,nidana,55,46,48,14,0,0,22,5,48,3,61,40,17,0
SN,AH,nidana,56,46,48,14,0,0,24,4,46,4,64,40,17,0
SN,AH,nidana,57,46,49,13,0,0,24,5,46,4,64,39,17,0
SN,AH,nidana,58,45,49,13,0,0,25,5,46,4,65,39,16,0
SN,AH,nidana,59,44,50,14,0,0,26,5,46,4,62,39,17,0
SN,AH,nidana,60,43,50,14,0,0,29,5,47,5,59,39,16,0
SN,AH,nidana,61,42,53,14,0,0,29,5,47,5,57,39,16,0
SN,AH,nidana,62,41,53,14,0,0,29,5,47,5,58,39,16,0
SN,AH,nidana,63,42,52,14,0,0,29,5,46,5,58,39,17,0
SN,AH,nidana,64,41,52,15,0,0,30,5,47,4,57,39,17,0
SN,AH,nidana,65,40,53,15,0,0,31,5,46,4,57,39,17,0
SN,AH,nidana,66,41,56,14,0,0,33,5,46,4,55,38,17,0
SN,AH,nidana,67,41,56,14,0,0,34,5,46,4,54,38,17,0
SN,AH,nidana,68,42,57,15,0,0,36,5,44,4,53,37,18,0
SN,AH,nidana,69,43,58,14,0,0,35,5,44,4,54,37,17,0
SN,AH,nidana,70,44,58,14,0,0,38,5,44,4,52,36,18,0
SN,AH,nidana,71,45,57,14,0,0,38,5,44,4,52,36,18,0
SN,AH,nidana,72,43,56,13,0,0,37,5,45,4,53,37,18,0
SN,AH,nidana,73,43,54,12,0,0,37,5,44,4,52,37,18,0
SN,AH,nidana,74,43,53,12,0,0,38,5,43,4,54,37,17,0
SN,AH,nidana,75,44,53,12,0,0,38,5,43,4,54,37,16,0
SN,AH,nidana,76,43,53,12,0,0,39,5,44,4,54,37,15,0
SN,AH,nidana,77,44,53,12,0,0,37,5,45,4,53,37,16,0
SN,AH,nidana,78,47,53,12,0,0,38,5,43,4,54,36,16,0
SN,AH,nidana,79,47,54,13,0,0,37,5,42,4,54,36,16,0
SN,AH,nidana,80,47,55,12,0,0,37,5,41,4,55,36,16,0
SN,AH,nidana,81,47,54,12,0,0,37,5,41,4,56,36,16,0
SN,AH,nidana,82,46,55,12,0,0,37,5,41,4,55,36,17,0
SN,AH,nidana,83,47,55,12,0,0,38,5,40,4,54,36,17,0
SN,AH,nidana,84,47,52,12,0,0,39,5,41,4,54,37,15,0
SN,AH,nidana,85,46,54,12,0,0,39,5,42,4,53,37,14,0
SN,AH,nidana,86,44,54,13,0,0,42,5,42,4,51,37,14,0
SN,AH,nidana,87,43,55,12,0,0,41,5,43,4,51,37,15,0
SN,AH,nidana,88,44,54,12,0,0,40,4,44,4,51,38,15,0
SN,AH,nidana,89,43,54,12,0,0,41,4,44,4,51,38,15,0
SN,AH,nidana,90,47,56,12,0,0,41,4,46,4,51,38,15,0
SN,AH,nidana,91,48,57,12,0,0,40,4,46,4,51,38,14,0
SN,AH,nidana,92,47,58,13,0,0,41,3,47,4,50,38,15,0
SN,AH,nidana,93,46,60,12,0,0,41,3,47,4,50,38,15,0
SN,AH,nidana,94,44,63,12,1,0,42,3,48,4,51,37,16,0
SN,AH,nidana,95,45,64,12,1,0,43,3,49,4,52,37,16,0
SN,AH,nidana,96,46,67,11,1,0,43,3,47,4,53,36,17,0
SN,AH,nidana,97,46,67,11,1,0,44,3,49,4,55,37,17,0
SN,AH,nidana,98,47,67,11,1,0,43,2,50,4,54,38,17,0
SN,AH,nidana,99,49,68,11,1,0,43,2,50,4,56,38,17,0
SN,AH,nidana,100,49,67,10,1,0,43,2,48,4,58,38,17,0
SN,AH,nidana,101,48,65,10,1,0,43,2,48,4,59,38,17,0
SN,AH,nidana,102,49,65,9,1,0,43,2,48,3,59,38,16,0
SN,AH,nidana,103,49,64,8,1,0,43,2,48,2,61,38,15,0
SN,AH,nidana,104,47,63,8,1,0,43,2,50,2,60,38,15,0
SN,AH,nidana,105,45,61,9,1,0,44,1,51,2,58,39,16,0
SN,AH,nidana,106,44,62,9,1,0,42,1,52,1,56,40,16,0
SN,AH,nidana,107,42,63,9,1,0,42,0,52,1,57,41,16,0
SN,AH,nidana,108,42,63,9,1,0,41,0,52,1,58,41,16,0
SN,AH,nidana,109,42,62,9,1,0,40,0,53,1,59,41,16,0
SN,AH,nidana,110,42,62,10,1,0,40,0,53,0,58,41,17,0
SN,AH,nidana,111,42,59,10,1,0,40,1,54,0,59,40,18,0
SN,AH,nidana,112,43,62,11,1,0,42,1,53,0,57,39,17,0
SN,AH,nidana,113,42,62,11,1,0,42,1,54,0,57,39,17,0
SN,AH,nidana,114,42,60,10,1,0,40,1,54,0,58,40,18,0
SN,AH,nidana,115,42,61,10,1,0,39,1,54,0,58,40,18,0
SN,AH,nidana,116,43,59,10,1,0,37,1,54,0,58,41,18,0
SN,AH,nidana,117,41,58,10,1,0,37,1,55,0,60,41,18,0
SN,AH,nidana,118,42,58,9,1,0,36,1,56,0,60,41,18,0
SN,AH,nidana,119,42,56,9,1,0,37,1,57,0,59,41,19,0
SN,AH,nidana,120,41,58,9,1,0,35,1,57,0,58,42,18,0
SN,AH,nidana,121,41,58,10,1,0,34,1,57,0,57,42,19,0
SN,AH,nidana,122,44,59,10,1,0,34,1,57,0,56,41,19,0
SN,AH,nidana,123,44,61,10,1,0,35,1,58,0,57,41,19,0
SN,AH,nidana,124,45,61,10,1,0,34,1,58,0,55,41,21,0
SN,AH,nidana,125,45,62,10,1,0,33,1,58,0,55,41,21,0
SN,AH,nidana,126,46,61,10,1,0,32,1,59,0,55,41,21,0
SN,AH,nidana,127,45,61,10,1,0,32,1,58,0,58,41,20,0
SN,AH,nidana,128,42,60,11,1,0,32,1,60,0,58,41,21,0
SN,AH,nidana,129,42,60,11,1,0,32,2,60,0,58,40,21,0
SN,AH,nidana,130,41,61,13,1,0,34,2,59,0,57,39,22,0
SN,AH,nidana,131,41,62,13,1,0,33,2,59,0,56,39,23,0
SN,AH,nidana,132,42,62,14,1,0,32,3,59,0,56,38,22,0
SN,AH,nidana,133,42,62,14,1,0,31,3,59,0,57,38,22,0
SN,AH,nidana,134,43,65,14,1,0,31,3,57,0,58,37,22,0
SN,AH,nidana,135,43,63,15,1,0,31,3,56,0,60,37,22,0
SN,AH,nidana,136,44,64,14,1,0,28,3,57,0,60,37,23,0
SN,AH,nidana,137,45,64,14,1,0,28,3,57,0,60,37,22,0
SN,AH,nidana,138,44,65,14,1,0,30,3,57,0,60,36,23,0
SN,AH,nidana,139,45,65,14,1,0,28,3,57,0,61,36,23,0
SN,AH,nidana,140,41,65,14,1,0,27,3,55,0,61,36,22,0
SN,AH,nidana,141,41,64,14,1,0,27,3,56,0,60,36,23,0
SN,AH,nidana,142,41,63,14,1,0,27,3,56,0,59,37,22,0
SN,AH,nidana,143,41,62,15,1,0,27,3,56,0,58,37,23,0
SN,AH,nidana,144,41,59,15,0,0,26,3,56,0,56,38,24,0
SN,AH,nidana,145,41,59,16,0,0,25,3,56,0,56,38,24,0
SN,AH,nidana,146,42,57,16,0,0,24,3,56,0,56,39,23,0
SN,AH,nidana,147,42,57,16,0,0,23,3,55,0,57,39,24,0
SN,AH,nidana,148,40,58,16,0,0,24,3,53,1,60,38,25,0
SN,AH,nidana,149,38,57,17,0,0,25,3,55,1,59,38,25,0
SN,AH,nidana,150,37,58,18,0,0,27,3,56,1,58,37,25,0
SN,AH,nidana,151,39,58,17,0,0,27,3,57,1,56,37,25,0
SN,AH,nidana,152,40,58,17,0,0,27,3,58,1,55,37,24,0
SN,AH,nidana,153,40,59,19,0,0,27,3,59,1,52,37,23,0
SN,AH,nidana,154,42,59,20,0,0,27,3,58,2,50,36,25,0
SN,AH,nidana,155,42,60,19,0,0,27,3,59,2,50,36,24,0
SN,AH,nidana,156,41,60,21,1,0,27,3,60,3,51,35,25,0
SN,AH,nidana,157,42,60,21,1,0,28,3,60,3,49,35,25,0
SN,AH,nidana,158,41,60,21,1,0,28,3,60,3,48,35,27,0
SN,AH,nidana,159,41,61,20,1,0,29,3,59,3,49,35,26,0
SN,AH,nidana,160,41,60,20,1,0,26,3,60,3,50,36,25,0
SN,AH,nidana,161,41,61,20,1,0,25,2,59,3,51,37,25,0
SN,AH,nidana,162,40,57,20,1,0,24,2,60,3,52,38,26,0
SN,AH,nidana,163,41,56,21,1,0,24,2,61,3,51,38,25,0
SN,AH,nidana,164,41,59,22,1,0,23,2,62,4,51,38,24,0
SN,AH,nidana,165,42,59,24,1,0,23,3,63,5,50,37,24,0
SN,AH,nidana,166,40,59,25,1,0,23,3,65,5,50,37,23,0
SN,AH,nidana,167,41,61,25,1,0,22,3,64,5,49,37,23,0
SN,AH,nidana,168,40,60,25,1,0,21,3,64,5,49,38,23,0
SN,AH,nidana,169,39,62,25,1,0,20,3,63,5,51,38,22,0
SN,AH,nidana,170,39,59,26,1,0,20,4,63,5,53,37,22,0
SN,AH,nidana,171,39,61,25,1,0,20,4,63,5,53,37,21,0
SN,AH,nidana,172,37,59,27,1,0,20,4,64,5,54,37,21,0
SN,AH,nidana,173,38,57,27,1,0,20,4,65,5,54,37,21,0
SN,AH,nidana,174,36,57,27,1,0,20,4,65,5,57,37,20,0
SN,AH,nidana,175,35,57,27,1,0,20,4,65,5,57,37,21,0
SN,AH,nidana,176,33,58,28,1,0,20,5,65,5,56,36,22,0
SN,AH,nidana,177,34,58,28,1,0,20,5,65,5,54,36,23,0
SN,AH,nidana,178,35,58,27,1,0,19,6,64,5,54,36,22,0
SN,AH,nidana,179,34,58,26,1,0,19,5,65,5,55,37,22,0
SN,AH,nidana,180,34,57,25,1,0,17,5,66,5,55,38,22,0
SN,AH,nidana,181,33,57,25,1,0,17,5,67,5,56,38,21,0
SN,AH,nidana,182,34,57,25,1,0,17,4,67,5,55,39,21,0
SN,AH,nidana,183,33,57,25,1,0,18,4,67,5,54,39,22,0
SN,AH,nidana,184,31,55,26,1,0,18,4,68,5,53,40,22,0
SN,AH,nidana,185,30,57,25,1,0,19,4,68,5,52,40,22,0
SN,AH,nidana,186,30,57,25,1,0,20,4,67,5,53,40,21,0
SN,AH,nidana,187,29,57,26,1,0,20,4,68,5,52,40,21,0
SN,AH,nidana,188,28,57,25,1,0,18,4,69,5,52,41,21,0
SN,AH,nidana,189,27,56,26,1,0,20,4,69,5,50,41,22,0
SN,AH,nidana,190,29,54,26,1,0,20,4,69,5,48,41,24,0
SN,AH,nidana,191,29,55,26,1,0,21,5,68,5,48,40,23,0
SN,AH,nidana,192,30,55,25,1,0,20,5,68,5,48,40,24,0
SN,AH,nidana,193,30,56,24,1,0,20,5,68,5,48,40,24,0
SN,AH,nidana,194,31,58,24,2,0,21,5,68,5,49,39,24,0
SN,AH,nidana,195,30,58,23,2,0,21,5,69,5,49,39,25,0
SN,AH,nidana,196,28,58,25,2,0,20,5,71,5,48,39,25,0
SN,AH,nidana,197,28,58,26,2,0,22,5,72,5,45,39,24,0
SN,AH,nidana,198,28,58,26,2,0,21,6,73,4,44,39,23,0
SN,AH,nidana,199,28,61,25,2,0,20,6,72,4,44,39,23,0
SN,AH,nidana,200,29,61,24,3,0,19,6,72,4,46,39,24,0
SN,AH,nidana,201,27,62,24,3,0,19,6,71,4,48,39,24,0
SN,AH,nidana,202,25,62,25,3,0,22,6,69,4,49,38,26,0
SN,AH,nidana,203,26,61,23,3,0,22,6,68,4,52,38,26,0
SN,AH,nidana,204,24,61,23,3,0,23,7,68,3,53,38,24,0
SN,AH,nidana,205,25,61,23,3,0,22,7,68,3,53,38,24,0
SN,AH,nidana,206,25,61,21,2,0,23,7,68,2,51,39,23,0
SN,AH,nidana,207,24,62,21,2,0,22,7,68,2,52,39,23,0
SN,AH,nidana,208,24,63,21,2,0,22,7,68,2,53,39,21,0
SN,AH,nidana,209,24,63,21,2,0,21,7,68,2,53,39,22,0
SN,AH,nidana,210,25,64,20,2,0,22,7,66,2,55,38,23,0
SN,AH,nidana,211,26,63,21,2,0,22,7,67,2,54,38,22,0
SN,AH,nidana,212,27,66,20,2,0,23,7,67,2,54,37,21,0
SN,AH,nidana,213,26,66,20,2,0,24,7,65,2,56,37,21,0
SN,AH,nidana,214,25,63,19,2,0,24,7,64,1,58,37,22,0
SN,AH,nidana,215,24,62,17,2,0,24,6,64,0,58,38,23,0
SN,AH,nidana,216,24,63,18,2,0,25,6,62,1,59,37,23,0
SN,AH,nidana,217,25,61,18,2,0,27,6,62,1,58,37,23,0
SN,AH,nidana,218,27,61,18,2,0,30,6,61,1,58,36,22,0
SN,AH,nidana,219,27,60,18,2,0,30,6,62,1,58,36,22,0
SN,AH,nidana,220,28,61,17,2,0,30,5,62,1,57,37,22,0
SN,AH,nidana,221,29,58,17,2,0,30,5,62,1,57,37,24,0
SN,AH,nidana,222,29,58,15,2,0,29,6,62,1,57,37,24,0
SN,AH,nidana,223,28,58,16,2,0,28,6,62,1,58,37,24,0
SN,AH,nidana,224,31,61,16,2,0,29,6,61,1,56,36,23,0
SN,AH,nidana,225,31,62,16,2,0,29,6,61,1,56,36,22,0
SN,AH,nidana,226,32,61,15,2,0,30,6,60,1,57,36,22,0
SN,AH,nidana,227,32,61,15,2,0,31,6,60,1,57,36,21,0
SN,AH,nidana,228,32,60,15,2,0,31,5,61,1,57,37,21,0
SN,AH,nidana,229,34,59,15,2,0,33,5,60,1,55,37,21,0
SN,AH,nidana,230,36,58,14,2,0,34,5,60,1,55,37,20,0
SN,AH,nidana,231,36,59,15,2,0,34,5,59,1,54,37,20,0
SN,AH,nidana,232,34,58,15,2,0,34,6,60,1,55,36,21,0
SN,AH,nidana,233,34,57,15,2,0,34,6,60,1,57,36,20,0
SN,AH,nidana,234,34,58,15,2,0,34,6,59,1,59,35,21,0
SN,AH,nidana,235,34,57,15,2,0,34,7,59,1,59,34,22,0
SN,AH,nidana,236,36,57,15,2,0,35,7,58,1,59,33,23,0
SN,AH,nidana,237,36,56,14,2,0,35,7,58,1,60,33,24,0
SN,AH,nidana,238,36,54,14,2,0,35,7,57,1,63,33,24,0
SN,AH,nidana,239,37,55,13,2,0,33,8,58,1,64,32,23,0
SN,AH,nidana,240,36,56,14,2,0,34,8,57,1,67,31,22,0
SN,AH,nidana,241,36,56,14,2,0,33,7,58,1,67,32,22,0
SN,AH,nidana,242,35,57,14,2,0,33,7,58,1,68,32,21,0
SN,AH,nidana,243,35,55,15,2,0,33,8,58,2,69,31,20,0
SN,AH,nidana,244,33,55,16,1,0,33,8,58,2,67,32,18,0
SN,AH,nidana,245,34,55,16,1,0,33,8,57,2,67,32,18,0
SN,AH,nidana,246,35,54,15,1,0,34,8,57,2,67,32,18,0
SN,AH,nidana,247,36,56,14,1,0,32,8,56,2,68,32,18,0
SN,AH,nidana,248,36,54,15,1,0,33,7,56,2,67,33,19,0
SN,AH,nidana,249,37,53,15,1,0,33,7,56,2,67,33,19,0
SN,AH,nidana,250,36,52,15,0,0,32,7,56,2,66,34,18,0
SN,AH,nidana,251,37,53,15,0,0,32,7,56,2,64,34,18,0
SN,AH,nidana,252,38,53,15,0,0,29,7,57,2,63,35,17,0
SN,AH,nidana,253,38,53,15,0,0,29,7,57,2,61,35,19,0
SN,AH,nidana,254,39,52,14,0,0,29,6,57,2,61,36,20,0
SN,AH,nidana,255,38,52,14,0,0,29,6,57,2,62,36,20,0
SN,AH,nidana,256,38,52,14,0,0,29,6,56,2,63,36,20,0
SN,AH,nidana,257,41,49,14,0,0,29,7,55,3,63,35,20,0
SN,AH,nidana,258,42,49,14,0,0,29,7,55,3,62,35,20,0
SN,AH,nidana,259,42,49,14,0,0,30,7,55,3,62,35,19,0
SN,AH,nidana,260,42,47,14,0,0,29,7,57,3,61,36,18,0
SN,AH,nidana,261,43,47,13,0,0,30,7,56,3,60,36,19,0
SN,AH,nidana,262,42,45,14,0,0,28,7,56,3,60,37,20,0
SN,AH,nidana,263,44,45,13,0,0,27,7,56,3,59,37,21,0
SN,AH,nidana,264,45,45,13,0,0,27,7,57,3,58,37,20,0
SN,AH,nidana,265,45,46,13,0,0,28,7,56,3,58,37,19,0
SN,AH,nidana,266,45,44,11,0,0,27,7,56,2,60,38,20,0
SN,AH,nidana,267,44,44,11,0,0,25,7,56,2,61,38,22,0
SN,AH,nidana,268,41,45,11,0,0,22,7,56,3,63,38,24,0
SN,AH,nidana,269,41,45,12,0,0,23,7,55,3,62,38,24,0
SN,AH,nidana,270,41,46,12,0,0,23,7,55,3,61,38,24,0
SN,AH,nidana,271,39,48,12,0,0,23,7,56,3,62,38,22,0
SN,AH,nidana,272,39,48,12,0,0,23,6,55,3,63,39,22,0
SN,AH,nidana,273,40,48,11,0,0,23,6,55,3,62,39,23,0
SN,AH,nidana,274,37,47,11,0,0,22,6,57,3,62,40,23,0
SN,AH,nidana,275,37,46,12,0,0,23,6,57,3,61,40,23,0
SN,AH,nidana,276,37,46,12,0,0,22,5,57,3,63,41,22,0
SN,AH,nidana,277,37,46,13,0,0,21,5,57,3,63,41,22,0
SN,AH,nidana,278,37,46,16,0,0,23,5,55,3,62,40,23,0
SN,AH,nidana,279,36,46,16,0,0,22,5,55,3,63,40,24,0
SN,AH,nidana,280,34,47,16,0,0,22,5,55,3,63,40,25,0
SN,AH,nidana,281,35,45,15,0,0,24,5,56,3,62,40,25,0
SN,AH,nidana,282,35,47,14,0,0,25,4,56,3,61,41,24,0
SN,AH,nidana,283,35,46,14,0,0,24,4,56,3,62,41,25,0
SN,AH,nidana,284,37,45,13,0,0,24,4,56,4,61,41,25,0
SN,AH,nidana,285,37,46,13,0,0,24,3,56,4,61,42,24,0
SN,AH,nidana,286,34,45,13,0,0,22,3,58,4,62,43,24,0
SN,AH,nidana,287,34,46,13,0,0,23,4,57,4,61,42,24,0
SN,AH,nidana,288,34,48,13,0,0,23,4,57,4,60,42,23,0
SN,AH,nidana,289,33,49,13,0,0,24,3,57,4,59,43,23,0
SN,AH,nidana,290,33,51,14,0,0,25,3,57,4,56,43,22,0
SN,AH,nidana,291,32,52,14,0,0,25,3,57,4,56,43,22,0
SN,AH,nidana,292,34,53,14,1,0,26,3,58,4,56,42,22,0
SN,AH,nidana,293,34,55,13,1,0,26,2,58,3,56,43,22,0
SN,AH,nidana,294,35,54,12,1,0,25,2,58,3,57,43,23,0
SN,AH,nidana,295,35,54,12,1,0,26,2,58,3,57,43,22,0
SN,AH,nidana,296,35,54,11,1,0,26,2,57,3,59,43,22,0
SN,AH,nidana,297,34,53,11,1,0,26,2,57,3,61,43,22,0
SN,AH,nidana,298,34,55,10,1,0,25,2,57,3,62,43,21,0
SN,AH,nidana,299,33,54,10,1,0,26,2,57,3,63,43,21,0
SN,AH,nidana,300,35,53,10,1,0,27,2,57,3,61,43,21,0
SN,AH,nidana,301,33,54,10,1,0,27,2,57,3,62,43,21,0
SN,AH,nidana,302,33,54,9,1,0,27,2,57,3,64,43,20,0
SN,AH,nidana,303,32,56,9,1,0,28,2,57,3,64,43,18,0
SN,AH,nidana,304,32,56,9,1,0,27,2,60,3,63,43,17,0
SN,AH,nidana,305,32,57,9,1,0,27,2,60,3,62,43,17,0
SN,AH,nidana,306,32,57,9,1,0,26,2,60,3,63,43,17,0
SN,AH,nidana,307,29,60,9,1,0,27,1,61,2,62,44,17,0
SN,AH,nidana,308,29,58,10,1,0,27,1,62,2,62,44,17,0
SN,AH,nidana,309,29,58,10,1,0,27,1,63,2,61,44,17,0
SN,AH,nidana,310,29,61,10,1,0,30,1,61,2,60,43,17,0
SN,AH,nidana,311,27,62,10,1,0,29,1,61,2,62,43,17,0
SN,AH,nidana,312,28,63,9,1,0,29,1,61,2,62,43,16,0
SN,AH,nidana,313,26,64,9,1,0,30,1,62,2,62,43,15,0
