Text_Type,Book,Chapter,Window,LG,LLG,L,GLL,GGL,LGL,G,GGG,LGG,GLG,LLL,GG,LL
SN,AH,nidana,1,1,7,2,7,23,26,22,42,13,23,0,0,0
SN,AH,nidana,2,1,9,2,7,22,27,22,41,13,22,0,0,0
SN,AH,nidana,3,1,10,2,8,22,26,21,39,15,23,1,0,0
SN,AH,nidana,4,1,10,2,8,22,26,21,39,16,22,1,0,0
SN,AH,nidana,5,1,10,2,8,22,27,21,37,16,23,1,0,0
SN,AH,nidana,6,1,10,2,9,22,26,21,38,14,24,1,0,0
SN,AH,nidana,7,1,10,2,10,23,26,21,36,13,25,1,0,0
SN,AH,nidana,8,1,10,3,11,23,26,20,34,14,25,1,0,0
SN,AH,nidana,9,1,11,3,12,24,27,19,30,16,26,1,0,0
SN,AH,nidana,10,1,12,3,13,23,27,19,30,16,25,1,0,0
SN,AH,nidana,11,1,13,3,14,22,28,18,29,17,26,1,0,0
SN,AH,nidana,12,1,12,3,13,22,28,18,30,17,27,1,0,0
SN,AH,nidana,13,1,11,3,13,21,28,18,32,17,27,1,0,0
SN,AH,nidana,14,1,10,3,14,20,28,18,33,16,27,2,0,0
SN,AH,nidana,15,1,9,3,13,21,28,18,33,15,29,2,0,0
SN,AH,nidana,16,1,9,3,13,21,29,18,33,15,28,2,0,0
SN,AH,nidana,17,1,10,3,14,22,30,18,30,15,27,2,0,0
SN,AH,nidana,18,1,10,3,13,22,29,18,30,16,28,2,0,0
SN,AH,nidana,19,2,11,2,14,22,31,18,31,17,27,2,0,0
SN,AH,nidana,20,1,10,2,15,22,32,19,30,18,26,2,0,0
SN,AH,nidana,21,1,10,2,16,21,32,18,30,19,28,2,0,0
SN,AH,nidana,22,1,11,2,15,19,31,18,32,19,29,2,0,0
SN,AH,nidana,23,1,11,2,15,18,32,18,32,18,30,2,0,0
SN,AH,nidana,24,1,11,1,15,18,31,18,30,17,29,2,1,0
SN,AH,nidana,25,1,12,1,15,16,31,18,31,18,28,2,1,0
SN,AH,nidana,26,1,11,1,16,13,28,18,27,17,23,2,1,0
SN,AH,nidana,27,1,9,1,17,13,27,17,28,18,26,2,1,0
SN,AH,nidana,28,1,8,1,16,14,28,18,28,16,26,1,1,0
SN,AH,nidana,29,1,8,1,15,15,29,18,29,14,26,1,1,0
SN,AH,nidana,30,1,9,1,15,15,28,18,31,14,24,1,1,0
SN,AH,nidana,31,1,9,2,14,16,29,17,30,14,24,1,1,0
SN,AH,nidana,32,1,9,2,14,17,29,17,30,14,23,1,1,0
SN,AH,nidana,33,1,10,1,12,19,29,18,30,13,23,1,1,0
SN,AH,nidana,34,1,9,1,11,19,28,19,33,11,22,1,1,0
SN,AH,nidana,35,1,9,1,10,20,27,18,35,11,24,1,1,0
SN,AH,nidana,36,1,8,1,9,21,27,19,36,10,22,1,1,0
SN,AH,nidana,37,1,9,1,9,22,27,19,34,10,22,1,1,0
SN,AH,nidana,38,1,9,1,9,22,28,19,33,9,23,1,1,0
SN,AH,nidana,39,1,9,1,8,23,27,18,33,11,25,1,1,0
SN,AH,nidana,40,1,9,1,8,23,28,18,35,10,23,1,1,0
SN,AH,nidana,41,1,10,1,8,22,27,18,37,9,23,1,1,0
SN,AH,nidana,42,1,9,1,7,22,27,18,38,9,24,1,1,0
SN,AH,nidana,43,1,9,1,7,21,28,18,39,8,24,1,1,0
SN,AH,nidana,44,0,9,1,7,20,26,19,37,8,24,1,1,0
SN,AH,nidana,45,0,9,1,6,19,26,19,39,7,25,1,1,0
SN,AH,nidana,46,0,9,1,5,18,27,20,38,7,24,1,1,0
SN,AH,nidana,47,0,8,1,6,20,26,19,36,9,26,1,1,0
SN,AH,nidana,48,0,8,1,7,20,25,19,36,9,26,1,1,0
SN,AH,nidana,49,0,9,1,7,21,27,20,36,9,27,1,0,0
SN,AH,nidana,50,0,9,1,7,21,27,20,35,9,28,1,0,0
SN,AH,nidana,51,0,10,1,6,23,26,20,34,9,28,1,0,0
SN,AH,nidana,52,0,10,1,5,22,27,21,33,10,26,1,0,0
SN,AH,nidana,53,0,9,1,5,21,28,21,33,10,27,1,0,0
SN,AH,nidana,54,0,9,1,5,21,28,21,33,11,26,1,0,0
SN,AH,nidana,55,0,8,1,6,22,29,21,31,11,26,1,0,0
SN,AH,nidana,56,0,8,0,6,21,28,22,32,12,26,1,0,0
SN,AH,nidana,57,0,8,0,5,20,28,22,33,13,26,1,0,0
SN,AH,nidana,58,0,7,0,5,18,29,22,34,13,27,1,0,0
SN,AH,nidana,59,0,9,0,5,18,29,21,32,13,30,1,0,0
SN,AH,nidana,60,0,9,0,5,19,30,22,29,13,28,1,0,0
SN,AH,nidana,61,0,9,0,5,20,30,22,29,12,28,1,0,0
SN,AH,nidana,62,0,8,0,6,21,29,22,29,13,27,1,0,0
SN,AH,nidana,63,0,8,1,7,22,27,21,28,14,27,1,0,0
SN,AH,nidana,64,0,8,1,7,21,28,22,28,13,26,0,0,0
SN,AH,nidana,65,0,9,1,7,20,27,22,28,14,26,0,0,0
SN,AH,nidana,66,0,9,1,6,20,27,22,28,15,26,0,0,0
SN,AH,nidana,67,0,9,2,6,19,26,21,30,15,26,0,0,0
SN,AH,nidana,68,0,9,2,7,20,25,21,29,16,25,0,0,0
SN,AH,nidana,69,0,8,2,6,23,24,21,31,15,24,0,0,0
SN,AH,nidana,70,0,8,2,6,23,23,21,28,15,23,0,0,0
SN,AH,nidana,71,0,8,2,7,23,24,21,27,16,21,0,0,0
SN,AH,nidana,72,0,8,2,6,21,24,21,27,14,18,0,0,0
SN,AH,nidana,73,0,8,3,5,22,24,20,27,15,17,0,0,0
SN,AH,nidana,74,0,7,3,5,21,22,20,27,15,16,0,0,0
SN,AH,nidana,75,0,6,3,6,22,23,20,26,14,18,0,0,0
SN,AH,nidana,76,0,5,3,7,22,24,20,26,14,19,0,0,0
SN,AH,nidana,77,0,7,3,8,22,24,20,26,12,19,1,0,0
SN,AH,nidana,78,0,9,3,9,22,23,20,26,12,18,2,0,0
SN,AH,nidana,79,0,9,3,9,23,21,20,28,11,20,2,0,0
SN,AH,nidana,80,0,9,4,8,24,19,19,30,11,22,2,0,0
SN,AH,nidana,81,0,9,4,8,25,18,18,32,12,22,3,0,0
SN,AH,nidana,82,0,9,5,8,26,18,17,31,11,23,3,0,0
SN,AH,nidana,83,0,9,5,8,27,17,17,31,12,22,3,0,0
SN,AH,nidana,84,0,8,5,9,26,17,18,30,13,20,3,0,0
SN,AH,nidana,85,0,7,5,9,24,17,17,30,16,22,4,0,0
SN,AH,nidana,86,0,7,5,9,22,17,17,28,17,25,4,0,0
SN,AH,nidana,87,0,8,5,8,20,18,17,29,16,26,4,0,0
SN,AH,nidana,88,0,9,4,7,20,19,18,30,15,25,4,0,0
SN,AH,nidana,89,0,9,4,8,20,19,17,29,17,26,4,0,0
SN,AH,nidana,90,0,8,4,8,20,19,17,29,17,27,4,0,0
SN,AH,nidana,91,0,8,4,8,21,19,16,27,18,30,4,0,0
SN,AH,nidana,92,0,8,3,8,22,20,17,24,19,30,4,0,0
SN,AH,nidana,93,0,9,3,8,22,19,16,24,20,32,4,0,0
SN,AH,nidana,94,0,9,3,8,20,20,16,23,20,34,4,0,0
SN,AH,nidana,95,0,10,3,8,21,21,15,24,23,35,4,0,0
SN,AH,nidana,96,0,10,3,7,22,20,15,25,22,36,4,0,0
SN,AH,nidana,97,0,10,3,7,22,21,16,26,23,38,4,0,0
SN,AH,nidana,98,0,10,2,7,21,20,17,25,22,37,4,0,0
SN,AH,nidana,99,0,10,2,7,22,21,17,27,23,37,4,0,0
SN,AH,nidana,100,0,10,2,6,22,20,17,28,24,35,4,0,0
SN,AH,nidana,101,0,10,2,5,21,20,17,28,25,34,4,0,0
SN,AH,nidana,102,0,9,2,4,22,21,17,27,25,34,3,0,0
SN,AH,nidana,103,0,7,2,3,25,20,16,28,26,35,2,0,0
SN,AH,nidana,104,0,7,2,4,24,21,16,26,26,34,2,0,0
SN,AH,nidana,105,0,7,1,4,23,22,17,25,26,33,2,0,0
SN,AH,nidana,106,0,7,1,4,22,23,18,24,25,32,1,0,0
SN,AH,nidana,107,0,8,0,4,20,23,19,24,26,32,1,0,0
SN,AH,nidana,108,0,8,0,4,20,23,19,23,26,33,1,0,0
SN,AH,nidana,109,0,7,0,3,21,24,19,24,26,32,1,0,0
SN,AH,nidana,110,0,7,0,3,22,25,20,23,23,32,0,0,0
SN,AH,nidana,111,0,7,0,4,22,25,20,23,25,29,0,0,0
SN,AH,nidana,112,0,7,0,4,23,25,20,22,25,29,0,0,0
SN,AH,nidana,113,0,6,0,5,24,25,20,21,25,29,0,0,0
SN,AH,nidana,114,0,6,0,4,23,25,21,22,24,28,0,0,0
SN,AH,nidana,115,0,7,0,4,27,27,21,22,24,29,0,0,0
SN,AH,nidana,116,0,6,0,4,27,27,22,24,22,27,0,0,0
SN,AH,nidana,117,0,7,0,5,25,27,21,26,22,28,0,0,0
SN,AH,nidana,118,0,6,0,4,24,28,22,26,21,28,0,0,0
SN,AH,nidana,119,1,7,0,4,24,28,21,28,22,29,0,0,0
SN,AH,nidana,120,1,6,0,4,24,28,22,28,20,29,0,0,0
SN,AH,nidana,121,1,7,0,4,24,27,21,28,21,31,0,0,0
SN,AH,nidana,122,1,7,0,4,24,28,21,29,21,29,0,0,0
SN,AH,nidana,123,1,7,0,4,26,30,21,29,21,30,0,0,0
SN,AH,nidana,124,1,7,0,4,27,29,21,29,20,31,0,0,0
SN,AH,nidana,125,1,7,0,4,27,28,21,30,19,32,0,0,0
SN,AH,nidana,126,1,7,0,5,27,28,21,31,18,31,0,0,0
SN,AH,nidana,127,1,7,0,5,27,27,21,32,18,31,0,0,0
SN,AH,nidana,128,1,8,0,5,24,28,22,33,17,29,0,0,0
SN,AH,nidana,129,1,8,0,4,23,29,22,34,17,29,0,0,0
SN,AH,nidana,130,1,9,0,5,22,29,22,33,18,28,0,0,0
SN,AH,nidana,131,1,9,0,5,22,29,22,32,17,30,0,0,0
SN,AH,nidana,132,1,8,0,5,22,29,22,33,16,31,0,0,0
SN,AH,nidana,133,1,8,0,5,22,29,22,35,15,30,0,0,0
SN,AH,nidana,134,1,9,0,6,21,29,22,35,14,30,0,0,0
SN,AH,nidana,135,1,10,0,7,20,28,21,35,17,30,0,0,0
SN,AH,nidana,136,1,11,1,6,20,29,20,36,15,30,0,0,0
SN,AH,nidana,137,1,10,1,7,20,28,19,35,17,33,0,0,0
SN,AH,nidana,138,1,11,1,6,18,29,19,36,17,33,0,0,0
SN,AH,nidana,139,1,12,1,6,19,29,19,36,16,32,0,0,0
SN,AH,nidana,140,1,11,1,6,15,27,19,36,15,32,0,0,0
SN,AH,nidana,141,1,12,1,6,16,27,19,34,15,32,0,0,0
SN,AH,nidana,142,1,11,1,5,16,28,20,34,15,30,0,0,0
SN,AH,nidana,143,1,12,1,5,18,28,19,34,15,30,0,0,0
SN,AH,nidana,144,0,12,1,5,18,29,20,31,15,27,0,0,0
SN,AH,nidana,145,0,12,1,5,17,29,20,30,15,29,0,0,0
SN,AH,nidana,146,0,12,1,6,17,30,21,29,13,27,0,0,0
SN,AH,nidana,147,0,12,1,6,20,29,20,27,13,30,0,0,0
SN,AH,nidana,148,0,12,1,6,18,28,20,28,14,31,0,0,0
SN,AH,nidana,149,0,14,1,6,18,29,20,26,14,30,0,0,0
SN,AH,nidana,150,0,14,1,6,18,30,20,25,14,30,0,0,0
SN,AH,nidana,151,0,14,1,5,19,31,20,24,14,30,0,0,0
SN,AH,nidana,152,0,13,1,5,18,31,20,26,14,30,0,0,0
SN,AH,nidana,153,0,13,1,6,18,32,19,25,15,31,0,0,0
SN,AH,nidana,154,0,13,2,7,19,31,18,24,15,31,0,0,0
SN,AH,nidana,155,0,13,2,8,19,30,17,24,16,33,0,0,0
SN,AH,nidana,156,0,14,2,8,19,30,17,24,16,32,0,0,0
SN,AH,nidana,157,0,14,3,9,20,30,16,23,16,31,0,0,0
SN,AH,nidana,158,0,14,3,9,20,30,16,22,16,32,0,0,0
SN,AH,nidana,159,0,13,3,8,22,28,15,23,17,35,0,0,0
SN,AH,nidana,160,0,12,3,8,23,28,16,25,14,33,0,0,0
SN,AH,nidana,161,0,12,2,8,24,28,17,24,13,34,0,0,0
SN,AH,nidana,162,0,12,2,7,25,29,18,25,11,31,0,0,0
SN,AH,nidana,163,0,12,2,8,26,28,17,24,13,32,0,0,0
SN,AH,nidana,164,0,11,2,8,26,28,17,25,12,33,0,0,0
SN,AH,nidana,165,0,11,2,8,26,28,17,25,12,33,0,0,0
SN,AH,nidana,166,0,11,2,8,25,29,17,26,12,32,0,0,0
SN,AH,nidana,167,0,11,2,9,25,28,17,25,12,33,0,0,0
SN,AH,nidana,168,0,11,2,10,23,28,18,24,12,32,0,0,0
SN,AH,nidana,169,0,12,2,10,23,27,18,25,11,32,0,0,0
SN,AH,nidana,170,0,12,2,11,24,27,18,26,10,30,0,0,0
SN,AH,nidana,171,0,11,2,10,25,26,18,27,11,30,0,0,0
SN,AH,nidana,172,0,12,2,10,22,26,19,30,10,27,0,0,0
SN,AH,nidana,173,0,13,2,10,22,25,18,32,10,27,1,0,0
SN,AH,nidana,174,0,11,2,11,20,26,18,33,11,27,1,0,0
SN,AH,nidana,175,0,11,2,12,19,26,17,33,13,28,1,0,0
SN,AH,nidana,176,0,11,2,12,20,26,17,32,13,28,1,0,0
SN,AH,nidana,177,0,11,2,12,22,27,17,29,13,28,1,0,0
SN,AH,nidana,178,0,10,2,13,22,27,18,27,12,28,1,0,0
SN,AH,nidana,179,0,12,1,13,23,27,18,26,12,28,2,0,0
SN,AH,nidana,180,0,11,1,11,23,29,19,26,11,27,2,0,0
SN,AH,nidana,181,1,11,1,13,22,30,18,27,11,28,3,0,0
SN,AH,nidana,182,1,11,0,12,22,30,19,26,12,29,3,0,0
SN,AH,nidana,183,1,13,0,12,21,30,19,26,12,28,3,0,0
SN,AH,nidana,184,1,13,0,12,19,31,20,26,12,26,3,0,0
SN,AH,nidana,185,1,13,0,12,18,32,20,25,12,27,3,0,0
SN,AH,nidana,186,1,13,0,12,17,31,20,27,12,27,3,0,0
SN,AH,nidana,187,1,14,0,13,15,31,20,27,13,26,3,0,0
SN,AH,nidana,188,1,13,0,13,15,33,21,27,11,24,3,0,0
SN,AH,nidana,189,1,13,0,14,15,34,21,26,11,26,4,0,0
SN,AH,nidana,190,1,13,1,16,16,35,20,25,11,26,5,0,0
SN,AH,nidana,191,1,12,1,17,15,36,20,24,11,27,5,0,0
SN,AH,nidana,192,1,12,1,16,16,36,20,24,10,28,5,0,0
SN,AH,nidana,193,1,12,1,15,17,36,20,25,9,28,5,0,0
SN,AH,nidana,194,1,10,1,15,16,36,20,26,9,30,5,0,0
SN,AH,nidana,195,1,10,2,15,15,36,19,27,10,29,5,0,0
SN,AH,nidana,196,1,10,2,15,14,37,19,26,9,31,5,0,0
SN,AH,nidana,197,1,9,2,17,15,38,18,24,10,32,5,0,0
SN,AH,nidana,198,1,8,2,17,16,40,19,22,10,30,4,0,0
SN,AH,nidana,199,1,9,2,16,16,39,19,24,9,30,4,0,0
SN,AH,nidana,200,1,10,2,15,16,39,20,24,7,29,4,0,0
SN,AH,nidana,201,1,11,3,16,13,39,19,24,7,30,4,0,0
SN,AH,nidana,202,1,12,3,16,12,38,19,25,7,30,4,0,0
SN,AH,nidana,203,1,12,4,14,13,37,18,27,7,30,4,0,0
SN,AH,nidana,204,1,10,4,13,11,38,19,29,7,30,3,0,0
SN,AH,nidana,205,1,11,4,14,11,37,19,29,6,30,3,0,0
SN,AH,nidana,206,0,10,4,12,11,37,20,29,6,29,2,0,0
SN,AH,nidana,207,0,10,4,13,12,37,20,29,5,28,2,0,0
SN,AH,nidana,208,0,9,4,13,12,37,20,28,6,29,2,0,0
SN,AH,nidana,209,0,9,4,14,12,37,20,27,6,29,2,0,0
SN,AH,nidana,210,0,9,4,13,12,36,20,27,7,30,2,0,0
SN,AH,nidana,211,0,8,4,13,13,36,20,26,8,30,2,0,0
SN,AH,nidana,212,0,7,4,13,14,37,20,25,7,31,2,0,0
SN,AH,nidana,213,0,8,4,12,13,36,20,25,7,33,2,0,0
SN,AH,nidana,214,0,9,4,12,12,35,20,24,9,30,1,0,0
SN,AH,nidana,215,0,11,3,10,13,34,21,23,9,28,0,0,0
SN,AH,nidana,216,0,11,4,9,14,32,20,24,10,28,0,0,0
SN,AH,nidana,217,0,12,4,9,14,32,20,24,10,27,0,0,0
SN,AH,nidana,218,0,12,4,9,13,32,20,23,11,28,0,0,0
SN,AH,nidana,219,1,14,4,9,15,32,19,23,12,28,0,0,0
SN,AH,nidana,220,1,15,3,8,15,33,20,22,11,29,0,0,0
SN,AH,nidana,221,1,15,3,10,14,34,20,22,11,27,0,0,0
SN,AH,nidana,222,1,15,3,9,13,34,21,21,12,26,0,0,0
SN,AH,nidana,223,1,15,4,9,12,33,20,22,11,28,0,0,0
SN,AH,nidana,224,1,14,4,9,12,33,20,20,11,31,0,0,0
SN,AH,nidana,225,2,14,4,9,13,33,19,22,12,32,0,0,0
SN,AH,nidana,226,2,13,3,8,14,32,20,24,12,32,0,0,0
SN,AH,nidana,227,2,14,3,9,13,31,19,24,15,32,0,0,0
SN,AH,nidana,228,2,14,2,9,13,31,20,25,15,31,0,0,0
SN,AH,nidana,229,2,14,3,10,13,30,19,24,16,31,0,0,0
SN,AH,nidana,230,2,13,3,9,14,31,19,24,16,31,0,0,0
SN,AH,nidana,231,2,13,3,9,14,31,19,22,17,32,0,0,0
SN,AH,nidana,232,2,13,3,8,12,31,19,23,17,34,0,0,0
SN,AH,nidana,233,2,12,3,8,12,31,19,25,16,34,0,0,0
SN,AH,nidana,234,2,13,3,7,12,31,19,26,15,34,0,0,0
SN,AH,nidana,235,2,14,3,7,13,30,18,28,15,34,0,0,0
SN,AH,nidana,236,2,14,3,8,13,31,18,28,14,33,0,0,0
SN,AH,nidana,237,2,14,3,7,13,30,17,29,16,35,0,0,0
SN,AH,nidana,238,2,13,3,8,13,29,17,31,17,33,0,0,0
SN,AH,nidana,239,2,13,3,7,13,29,17,34,15,33,0,0,0
SN,AH,nidana,240,2,12,3,7,11,30,17,35,15,34,0,0,0
SN,AH,nidana,241,2,12,2,9,10,30,17,35,15,35,1,0,0
SN,AH,nidana,242,2,11,2,9,11,30,17,34,17,34,1,0,0
SN,AH,nidana,243,2,10,2,9,14,29,16,35,19,33,1,0,0
SN,AH,nidana,244,1,8,2,9,12,30,17,35,18,32,1,0,0
SN,AH,nidana,245,1,7,2,9,13,29,17,35,19,32,1,0,0
SN,AH,nidana,246,1,9,2,7,15,28,17,35,19,31,1,0,0
SN,AH,nidana,247,1,9,3,6,16,28,16,36,17,32,1,0,0
SN,AH,nidana,248,1,9,2,7,16,29,17,36,17,30,1,0,0
SN,AH,nidana,249,1,9,2,7,19,28,16,36,18,30,1,0,0
SN,AH,nidana,250,0,8,2,7,18,28,17,34,17,30,1,0,0
SN,AH,nidana,251,0,9,3,7,18,28,16,33,18,29,1,0,0
SN,AH,nidana,252,0,7,3,6,19,29,17,33,16,29,1,0,0
SN,AH,nidana,253,0,7,3,6,19,30,17,32,16,29,1,0,0
SN,AH,nidana,254,0,7,2,5,21,30,18,31,17,28,1,0,0
SN,AH,nidana,255,0,7,2,5,22,29,18,31,18,27,1,0,0
SN,AH,nidana,256,0,7,2,6,22,28,18,32,17,27,1,0,0
SN,AH,nidana,257,0,8,3,7,22,29,17,32,17,24,1,0,0
SN,AH,nidana,258,0,8,3,7,22,29,17,32,18,23,1,0,0
SN,AH,nidana,259,0,8,3,8,22,28,16,33,19,24,1,0,0
SN,AH,nidana,260,0,8,4,8,21,29,16,31,19,23,1,0,0
SN,AH,nidana,261,0,9,4,7,23,27,15,31,21,24,1,0,0
SN,AH,nidana,262,0,10,4,7,23,28,16,31,19,21,1,0,0
SN,AH,nidana,263,0,11,4,6,23,28,16,32,18,21,1,0,0
SN,AH,nidana,264,0,10,5,6,24,29,15,30,18,22,1,0,0
SN,AH,nidana,265,0,10,5,7,25,27,14,32,19,22,1,0,0
SN,AH,nidana,266,0,10,5,5,26,28,15,32,18,21,0,0,0
SN,AH,nidana,267,0,10,5,5,24,28,15,34,16,23,0,0,0
SN,AH,nidana,268,0,10,6,6,21,29,15,34,14,22,1,0,0
SN,AH,nidana,269,0,10,6,7,21,28,15,32,15,23,1,0,0
SN,AH,nidana,270,0,11,6,7,21,28,15,32,14,23,1,0,0
SN,AH,nidana,271,0,9,6,8,20,29,15,32,15,23,1,0,0
SN,AH,nidana,272,0,9,5,8,20,28,16,32,15,24,1,0,0
SN,AH,nidana,273,0,10,5,8,20,27,16,31,16,24,1,0,0
SN,AH,nidana,274,0,10,5,8,18,28,17,31,15,23,1,0,0
SN,AH,nidana,275,0,10,5,8,18,28,17,32,15,22,1,0,0
SN,AH,nidana,276,0,9,4,8,19,28,18,31,14,24,1,0,0
SN,AH,nidana,277,0,10,4,9,19,28,18,30,13,24,1,0,0
SN,AH,nidana,278,0,12,4,9,19,27,18,29,13,24,1,0,0
SN,AH,nidana,279,0,13,4,9,18,27,18,30,12,24,1,0,0
SN,AH,nidana,280,0,13,4,9,16,28,18,31,11,25,1,0,0
SN,AH,nidana,281,0,13,4,8,16,28,18,31,12,25,1,0,0
SN,AH,nidana,282,0,12,4,7,19,26,18,31,12,25,2,0,0
SN,AH,nidana,283,0,12,4,7,20,26,18,30,11,26,2,0,0
SN,AH,nidana,284,0,11,4,6,20,27,19,29,11,25,2,0,0
SN,AH,nidana,285,0,10,3,6,21,28,20,30,10,24,2,0,0
SN,AH,nidana,286,0,10,3,6,20,29,21,29,9,23,2,0,0
SN,AH,nidana,287,0,10,3,7,19,28,21,29,9,24,2,0,0
SN,AH,nidana,288,0,10,3,7,21,28,21,27,9,24,2,0,0
SN,AH,nidana,289,0,10,2,7,21,28,22,28,9,23,2,0,0
SN,AH,nidana,290,0,9,2,6,20,29,23,26,9,24,2,0,0
SN,AH,nidana,291,0,10,2,6,19,28,23,28,9,23,2,0,0
SN,AH,nidana,292,0,12,2,6,20,28,23,27,9,21,2,0,0
SN,AH,nidana,293,0,14,1,5,20,27,23,29,8,23,2,0,0
SN,AH,nidana,294,0,14,1,5,20,27,23,30,8,22,2,0,0
SN,AH,nidana,295,0,13,1,5,20,27,23,29,9,23,2,0,0
SN,AH,nidana,296,0,13,1,4,19,27,23,30,8,25,2,0,0
SN,AH,nidana,297,0,13,1,4,19,27,23,31,8,24,2,0,0
SN,AH,nidana,298,0,13,1,3,20,28,23,31,7,24,2,0,0
SN,AH,nidana,299,0,13,1,3,19,29,23,31,7,24,2,0,0
SN,AH,nidana,300,0,13,1,4,19,29,23,29,8,24,2,0,0
SN,AH,nidana,301,0,13,1,4,18,29,23,32,8,22,2,0,0
SN,AH,nidana,302,0,12,1,4,18,29,23,33,8,22,2,0,0
SN,AH,nidana,303,0,11,1,7,18,28,22,33,10,22,2,0,0
SN,AH,nidana,304,0,11,1,7,18,28,22,33,10,22,2,0,0
SN,AH,nidana,305,0,12,1,7,18,27,22,32,11,22,2,0,0
SN,AH,nidana,306,0,12,1,7,19,28,22,31,12,20,2,0,0
SN,AH,nidana,307,0,12,0,7,16,30,23,30,13,22,1,0,0
SN,AH,nidana,308,0,13,0,7,15,30,23,32,13,20,1,0,0
SN,AH,nidana,309,0,14,0,7,17,29,22,32,13,20,2,0,0
SN,AH,nidana,310,0,14,0,7,16,28,22,31,14,22,2,0,0
SN,AH,nidana,311,0,14,0,7,14,29,22,33,13,22,2,0,0
SN,AH,nidana,312,0,14,1,6,15,29,21,32,14,22,2,0,0
SN,AH,nidana,313,0,13,1,6,13,29,21,33,14,24,2,0,0
SN,AH,nidana,314,0,13,1,6,12,29,21,31,15,26,2,0,0
SN,AH,nidana,315,0,13,1,8,13,28,20,30,16,27,2,0,0
SN,AH,nidana,316,0,12,1,8,13,29,20,28,16,29,2,0,0
SN,AH,nidana,317,1,10,1,8,14,30,19,29,17,32,2,0,0
SN,AH,nidana,318,1,8,1,8,14,31,20,27,18,32,1,0,0
