Text_Type,Book,Chapter,Window,Mean,StDev
SN,AS,shareera,1,19.41,12.5
SN,AS,shareera,2,20.72,13.35
SN,AS,shareera,3,21.5,12.63
SN,AS,shareera,4,18.91,12.41
SN,AS,shareera,5,19.59,13.11
SN,AS,shareera,6,19.44,13.06
SN,AS,shareera,7,18.88,12.94
SN,AS,shareera,8,19.68,12.88
SN,AS,shareera,9,20.61,13.43
SN,AS,shareera,10,20.67,13.65
SN,AS,shareera,11,21.03,14.2
SN,AS,shareera,12,22.33,15.24
SN,AS,shareera,13,20.83,14.1
SN,AS,shareera,14,21.61,14.71
SN,AS,shareera,15,22.45,15.25
SN,AS,shareera,16,20.66,14.33
SN,AS,shareera,17,21.68,14.71
SN,AS,shareera,18,22.17,14.56
SN,AS,shareera,19,21.68,14.77
SN,AS,shareera,20,19.62,13.41
SN,AS,shareera,21,19.9,13.43
SN,AS,shareera,22,21.36,14.11
SN,AS,shareera,23,21.23,13.26
SN,AS,shareera,24,20.84,13.14
SN,AS,shareera,25,21.49,13.08
SN,AS,shareera,26,20.74,12.63
SN,AS,shareera,27,19.4,11.59
SN,AS,shareera,28,20.04,11.77
SN,AS,shareera,29,20.04,10.82
SN,AS,shareera,30,19.16,10.06
SN,AS,shareera,31,21.17,10.39
SN,AS,shareera,32,20.9,9.85
SN,AS,shareera,33,22.13,9.86
SN,AS,shareera,34,20.24,8.95
SN,AS,shareera,35,21.02,9.21
SN,AS,shareera,36,21.04,8.9
SN,AS,shareera,37,20.54,8.46
SN,AS,shareera,38,20.56,8.85
SN,AS,shareera,39,22.09,8.99
SN,AS,shareera,40,22.17,8.78
SN,AS,shareera,41,21.94,8.99
SN,AS,shareera,42,23.87,9.28
SN,AS,shareera,43,24.18,9.63
SN,AS,shareera,44,24.4,9.04
SN,AS,shareera,45,25.22,9.83
SN,AS,shareera,46,23.94,9.89
SN,AS,shareera,47,24.43,9.65
SN,AS,shareera,48,25.87,10.23
SN,AS,shareera,49,26.14,9.89
SN,AS,shareera,50,25.84,10.31
SN,AS,shareera,51,26.56,10.5
SN,AS,shareera,52,26.57,10.71
SN,AS,shareera,53,27.66,10.88
SN,AS,shareera,54,27.26,11.08
SN,AS,shareera,55,25.58,10.93
SN,AS,shareera,56,26.57,11.19
SN,AS,shareera,57,23.09,10.96
SN,AS,shareera,58,25.72,11.69
SN,AS,shareera,59,26.81,12.25
SN,AS,shareera,60,24.69,11.85
SN,AS,shareera,61,23.69,11.63
SN,AS,shareera,62,22.47,11.77
SN,AS,shareera,63,20.93,10.67
SN,AS,shareera,64,20.34,11.01
SN,AS,shareera,65,20.83,11.21
SN,AS,shareera,66,21.49,11.36
SN,AS,shareera,67,20.55,11.27
SN,AS,shareera,68,20.0,10.45
SN,AS,shareera,69,20.32,10.51
SN,AS,shareera,70,19.82,9.44
SN,AS,shareera,71,17.3,8.58
SN,AS,shareera,72,16.89,8.46
SN,AS,shareera,73,17.03,8.04
SN,AS,shareera,74,16.74,8.65
SN,AS,shareera,75,18.89,8.72
SN,AS,shareera,76,18.62,8.42
SN,AS,shareera,77,16.72,8.59
SN,AS,shareera,78,18.05,9.27
SN,AS,shareera,79,17.35,9.4
SN,AS,shareera,80,16.22,9.46
SN,AS,shareera,81,16.21,9.6
SN,AS,shareera,82,15.92,10.22
SN,AS,shareera,83,15.99,10.49
SN,AS,shareera,84,16.01,10.27
SN,AS,shareera,85,15.95,10.3
SN,AS,shareera,86,15.98,9.93
SN,AS,shareera,87,15.28,9.63
SN,AS,shareera,88,15.59,10.29
SN,AS,shareera,89,15.78,10.1
SN,AS,shareera,90,15.82,10.0
SN,AS,shareera,91,15.43,10.09
SN,AS,shareera,92,14.8,9.65
SN,AS,shareera,93,14.51,9.84
SN,AS,shareera,94,15.06,11.06
SN,AS,shareera,95,16.98,12.47
SN,AS,shareera,96,18.72,13.31
SN,AS,shareera,97,19.49,13.78
SN,AS,shareera,98,21.27,14.52
SN,AS,shareera,99,19.03,13.28
SN,AS,shareera,100,18.96,13.27
SN,AS,shareera,101,18.93,13.28
SN,AS,shareera,102,18.61,12.85
SN,AS,shareera,103,19.35,12.42
SN,AS,shareera,104,18.64,11.23
SN,AS,shareera,105,17.93,10.76
SN,AS,shareera,106,17.82,10.2
SN,AS,shareera,107,17.92,10.23
SN,AS,shareera,108,19.52,9.7
SN,AS,shareera,109,18.46,10.13
SN,AS,shareera,110,18.07,9.73
SN,AS,shareera,111,18.1,9.39
SN,AS,shareera,112,19.17,9.53
SN,AS,shareera,113,17.87,9.63
SN,AS,shareera,114,17.61,9.66
SN,AS,shareera,115,17.92,9.99
SN,AS,shareera,116,18.26,9.4
SN,AS,shareera,117,18.12,9.53
SN,AS,shareera,118,18.08,10.99
SN,AS,shareera,119,18.5,10.7
SN,AS,shareera,120,18.43,10.05
SN,AS,shareera,121,18.19,10.05
SN,AS,shareera,122,17.87,9.82
SN,AS,shareera,123,18.08,9.13
SN,AS,shareera,124,17.33,9.5
SN,AS,shareera,125,17.12,10.53
SN,AS,shareera,126,17.49,10.16
SN,AS,shareera,127,17.54,9.52
SN,AS,shareera,128,17.18,9.83
SN,AS,shareera,129,18.18,9.9
SN,AS,shareera,130,17.71,10.3
SN,AS,shareera,131,18.49,11.23
SN,AS,shareera,132,16.95,10.98
SN,AS,shareera,133,18.07,11.09
SN,AS,shareera,134,17.98,10.64
SN,AS,shareera,135,18.88,11.6
SN,AS,shareera,136,18.93,11.66
SN,AS,shareera,137,18.29,11.16
SN,AS,shareera,138,17.51,10.61
SN,AS,shareera,139,17.57,10.35
SN,AS,shareera,140,18.54,9.88
SN,AS,shareera,141,18.76,10.93
SN,AS,shareera,142,18.81,11.02
SN,AS,shareera,143,16.79,9.76
SN,AS,shareera,144,18.42,9.04
SN,AS,shareera,145,17.87,8.46
SN,AS,shareera,146,17.53,7.94
SN,AS,shareera,147,17.51,7.76
SN,AS,shareera,148,17.35,7.64
SN,AS,shareera,149,16.92,7.19
SN,AS,shareera,150,17.16,6.89
SN,AS,shareera,151,17.06,6.76
SN,AS,shareera,152,16.52,6.69
SN,AS,shareera,153,17.61,7.01
SN,AS,shareera,154,17.67,7.03
SN,AS,shareera,155,17.49,6.86
SN,AS,shareera,156,18.27,7.56
SN,AS,shareera,157,20.35,8.13
SN,AS,shareera,158,20.05,8.05
SN,AS,shareera,159,16.98,6.66
SN,AS,shareera,160,20.33,7.89
SN,AS,shareera,161,19.42,7.38
SN,AS,shareera,162,19.39,7.46
SN,AS,shareera,163,18.95,7.45
SN,AS,shareera,164,19.31,7.9
SN,AS,shareera,165,20.28,8.15
SN,AS,shareera,166,20.08,8.14
SN,AS,shareera,167,19.44,7.95
SN,AS,shareera,168,20.83,8.12
SN,AS,shareera,169,18.59,7.38
SN,AS,shareera,170,18.53,7.4
SN,AS,shareera,171,18.55,7.55
SN,AS,shareera,172,18.29,7.69
SN,AS,shareera,173,17.12,7.93
SN,AS,shareera,174,17.85,8.21
SN,AS,shareera,175,17.42,8.06
SN,AS,shareera,176,16.73,8.11
SN,AS,shareera,177,16.91,8.38
SN,AS,shareera,178,16.96,8.65
SN,AS,shareera,179,17.02,9.41
SN,AS,shareera,180,17.43,9.5
SN,AS,shareera,181,18.25,10.11
SN,AS,shareera,182,17.74,9.64
SN,AS,shareera,183,17.32,9.83
SN,AS,shareera,184,16.63,8.3
SN,AS,shareera,185,16.26,8.7
SN,AS,shareera,186,17.01,8.56
SN,AS,shareera,187,17.47,8.5
SN,AS,shareera,188,17.65,8.45
SN,AS,shareera,189,17.29,8.21
SN,AS,shareera,190,17.27,8.6
SN,AS,shareera,191,16.18,8.09
SN,AS,shareera,192,16.39,8.17
SN,AS,shareera,193,15.66,8.33
SN,AS,shareera,194,16.86,7.98
SN,AS,shareera,195,16.96,8.09
SN,AS,shareera,196,15.32,7.87
SN,AS,shareera,197,14.92,8.1
SN,AS,shareera,198,16.47,7.71
SN,AS,shareera,199,16.4,8.04
SN,AS,shareera,200,16.08,7.86
SN,AS,shareera,201,15.32,8.08
SN,AS,shareera,202,14.41,8.7
SN,AS,shareera,203,14.64,8.49
SN,AS,shareera,204,14.64,8.18
SN,AS,shareera,205,15.26,8.66
SN,AS,shareera,206,15.66,8.82
SN,AS,shareera,207,16.35,9.61
SN,AS,shareera,208,16.57,9.36
SN,AS,shareera,209,17.45,9.97
SN,AS,shareera,210,18.05,10.6
SN,AS,shareera,211,18.37,10.91
SN,AS,shareera,212,17.8,11.36
SN,AS,shareera,213,17.98,11.25
SN,AS,shareera,214,18.06,11.15
SN,AS,shareera,215,18.13,10.44
SN,AS,shareera,216,18.75,10.6
SN,AS,shareera,217,18.16,10.21
SN,AS,shareera,218,17.5,10.37
SN,AS,shareera,219,16.98,10.89
SN,AS,shareera,220,18.97,11.72
SN,AS,shareera,221,18.04,11.72
SN,AS,shareera,222,18.98,11.34
SN,AS,shareera,223,20.23,11.84
SN,AS,shareera,224,21.21,12.15
SN,AS,shareera,225,21.74,12.83
SN,AS,shareera,226,20.37,12.46
SN,AS,shareera,227,18.18,11.26
SN,AS,shareera,228,20.9,13.01
SN,AS,shareera,229,20.36,12.69
SN,AS,shareera,230,22.36,13.0
SN,AS,shareera,231,21.28,12.57
SN,AS,shareera,232,21.19,12.19
SN,AS,shareera,233,20.23,11.66
SN,AS,shareera,234,19.81,11.32
SN,AS,shareera,235,21.22,10.51
SN,AS,shareera,236,21.66,10.48
SN,AS,shareera,237,22.69,10.74
SN,AS,shareera,238,24.15,10.77
SN,AS,shareera,239,23.57,10.8
SN,AS,shareera,240,24.35,10.83
SN,AS,shareera,241,24.06,10.89
SN,AS,shareera,242,23.98,10.83
SN,AS,shareera,243,25.51,10.91
SN,AS,shareera,244,24.94,10.26
SN,AS,shareera,245,24.83,10.07
SN,AS,shareera,246,24.76,10.0
SN,AS,shareera,247,24.62,10.02
SN,AS,shareera,248,24.72,10.3
SN,AS,shareera,249,24.26,10.22
SN,AS,shareera,250,26.61,10.75
SN,AS,shareera,251,28.24,11.18
SN,AS,shareera,252,28.15,11.35
SN,AS,shareera,253,26.46,9.97
SN,AS,shareera,254,26.75,10.73
SN,AS,shareera,255,26.51,10.78
SN,AS,shareera,256,26.34,10.73
SN,AS,shareera,257,25.83,11.07
SN,AS,shareera,258,26.76,11.6
SN,AS,shareera,259,26.31,12.11
SN,AS,shareera,260,23.63,12.21
SN,AS,shareera,261,23.87,12.6
SN,AS,shareera,262,25.57,13.0
SN,AS,shareera,263,24.55,13.68
SN,AS,shareera,264,24.17,13.76
SN,AS,shareera,265,23.4,13.94
SN,AS,shareera,266,24.92,13.7
SN,AS,shareera,267,23.8,12.88
SN,AS,shareera,268,23.22,13.29
SN,AS,shareera,269,24.66,13.68
SN,AS,shareera,270,22.22,13.41
SN,AS,shareera,271,21.87,13.65
SN,AS,shareera,272,21.77,13.78
SN,AS,shareera,273,20.46,13.19
SN,AS,shareera,274,21.62,13.87
SN,AS,shareera,275,18.9,12.65
SN,AS,shareera,276,19.18,12.48
SN,AS,shareera,277,20.22,12.92
SN,AS,shareera,278,20.46,13.26
SN,AS,shareera,279,20.22,13.21
SN,AS,shareera,280,19.7,12.8
SN,AS,shareera,281,19.62,12.79
SN,AS,shareera,282,20.52,12.96
SN,AS,shareera,283,20.36,12.46
SN,AS,shareera,284,19.46,12.18
SN,AS,shareera,285,19.63,12.43
SN,AS,shareera,286,19.82,12.33
SN,AS,shareera,287,19.37,11.48
SN,AS,shareera,288,20.6,11.11
SN,AS,shareera,289,19.43,10.66
SN,AS,shareera,290,19.35,10.72
SN,AS,shareera,291,19.35,10.72
SN,AS,shareera,292,19.51,10.81
SN,AS,shareera,293,19.96,11.03
SN,AS,shareera,294,20.4,11.21
SN,AS,shareera,295,21.51,11.13
SN,AS,shareera,296,23.76,11.37
SN,AS,shareera,297,25.8,11.49
SN,AS,shareera,298,26.96,11.96
SN,AS,shareera,299,27.15,10.86
SN,AS,shareera,300,28.43,11.73
SN,AS,shareera,301,30.47,12.88
SN,AS,shareera,302,29.85,12.8
SN,AS,shareera,303,30.53,12.08
SN,AS,shareera,304,29.1,11.86
SN,AS,shareera,305,28.79,11.96
SN,AS,shareera,306,27.64,12.24
SN,AS,shareera,307,26.33,11.47
SN,AS,shareera,308,24.57,10.95
SN,AS,shareera,309,23.5,10.09
SN,AS,shareera,310,22.76,9.44
SN,AS,shareera,311,20.89,8.59
SN,AS,shareera,312,18.8,8.23
SN,AS,shareera,313,19.56,7.93
SN,AS,shareera,314,19.31,8.29
SN,AS,shareera,315,18.94,8.51
SN,AS,shareera,316,18.75,8.46
SN,AS,shareera,317,19.06,9.58
SN,AS,shareera,318,16.62,8.69
SN,AS,shareera,319,15.91,8.46
SN,AS,shareera,320,16.22,8.83
SN,AS,shareera,321,16.8,8.86
SN,AS,shareera,322,17.41,8.63
SN,AS,shareera,323,17.42,8.5
SN,AS,shareera,324,18.1,8.23
SN,AS,shareera,325,17.5,8.15
SN,AS,shareera,326,16.81,7.02
SN,AS,shareera,327,15.63,6.88
SN,AS,shareera,328,15.57,7.57
SN,AS,shareera,329,15.34,7.8
SN,AS,shareera,330,15.89,7.75
SN,AS,shareera,331,14.87,7.16
SN,AS,shareera,332,14.02,7.55
SN,AS,shareera,333,14.26,8.22
SN,AS,shareera,334,14.8,8.91
SN,AS,shareera,335,18.13,10.12
SN,AS,shareera,336,20.0,11.11
SN,AS,shareera,337,23.06,11.77
SN,AS,shareera,338,22.38,11.77
SN,AS,shareera,339,22.62,11.66
SN,AS,shareera,340,22.03,11.68
SN,AS,shareera,341,22.64,11.98
SN,AS,shareera,342,21.18,11.03
SN,AS,shareera,343,19.3,11.06
SN,AS,shareera,344,22.15,10.93
SN,AS,shareera,345,21.2,10.34
SN,AS,shareera,346,20.43,9.81
SN,AS,shareera,347,20.73,9.47
SN,AS,shareera,348,22.29,10.02
SN,AS,shareera,349,24.18,11.02
SN,AS,shareera,350,26.29,11.7
SN,AS,shareera,351,27.47,12.47
SN,AS,shareera,352,27.24,12.05
SN,AS,shareera,353,28.65,11.53
SN,AS,shareera,354,28.53,11.25
SN,AS,shareera,355,24.7,10.29
SN,AS,shareera,356,26.23,11.42
SN,AS,shareera,357,27.3,12.41
SN,AS,shareera,358,27.79,12.56
SN,AS,shareera,359,27.6,12.86
SN,AS,shareera,360,25.37,13.06
SN,AS,shareera,361,27.11,13.19
SN,AS,shareera,362,27.65,13.72
SN,AS,shareera,363,27.81,14.24
SN,AS,shareera,364,27.33,13.96
SN,AS,shareera,365,25.23,14.2
SN,AS,shareera,366,24.74,14.38
SN,AS,shareera,367,25.03,14.68
SN,AS,shareera,368,25.44,14.66
SN,AS,shareera,369,23.71,14.57
SN,AS,shareera,370,23.11,14.11
SN,AS,shareera,371,23.35,14.29
SN,AS,shareera,372,23.61,14.56
SN,AS,shareera,373,22.3,14.44
SN,AS,shareera,374,22.17,14.12
SN,AS,shareera,375,20.56,13.77
SN,AS,shareera,376,20.38,13.34
SN,AS,shareera,377,20.62,13.69
SN,AS,shareera,378,20.44,13.91
SN,AS,shareera,379,20.87,14.26
SN,AS,shareera,380,20.79,14.09
SN,AS,shareera,381,19.33,13.24
SN,AS,shareera,382,17.58,11.55
SN,AS,shareera,383,17.6,11.16
SN,AS,shareera,384,16.74,10.87
SN,AS,shareera,385,16.88,10.23
SN,AS,shareera,386,17.94,9.51
SN,AS,shareera,387,18.91,8.98
SN,AS,shareera,388,19.28,8.7
SN,AS,shareera,389,19.11,8.9
SN,AS,shareera,390,20.43,9.04
SN,AS,shareera,391,20.64,8.71
SN,AS,shareera,392,20.38,8.84
SN,AS,shareera,393,18.33,8.6
SN,AS,shareera,394,17.59,8.36
SN,AS,shareera,395,18.79,8.89
SN,AS,shareera,396,18.99,8.93
SN,AS,shareera,397,18.89,9.12
SN,AS,shareera,398,20.33,9.53
SN,AS,shareera,399,19.92,9.13
SN,AS,shareera,400,19.6,8.82
SN,AS,shareera,401,20.16,8.33
SN,AS,shareera,402,19.44,7.97
SN,AS,shareera,403,19.39,7.45
SN,AS,shareera,404,20.8,7.6
SN,AS,shareera,405,20.41,7.78
SN,AS,shareera,406,20.35,7.94
SN,AS,shareera,407,20.84,7.78
SN,AS,shareera,408,19.99,8.0
SN,AS,shareera,409,19.27,8.21
SN,AS,shareera,410,21.11,9.43
SN,AS,shareera,411,20.51,9.56
SN,AS,shareera,412,19.33,9.82
SN,AS,shareera,413,18.6,9.79
SN,AS,shareera,414,18.67,9.51
SN,AS,shareera,415,19.51,9.57
SN,AS,shareera,416,18.38,9.51
SN,AS,shareera,417,17.59,9.97
SN,AS,shareera,418,17.24,10.08
SN,AS,shareera,419,18.21,10.36
SN,AS,shareera,420,16.78,9.95
SN,AS,shareera,421,17.76,10.18
SN,AS,shareera,422,17.76,10.37
SN,AS,shareera,423,19.22,10.19
SN,AS,shareera,424,20.64,11.08
SN,AS,shareera,425,21.63,11.79
SN,AS,shareera,426,22.29,12.26
SN,AS,shareera,427,22.94,12.9
SN,AS,shareera,428,23.44,13.13
SN,AS,shareera,429,22.58,12.5
SN,AS,shareera,430,24.0,13.62
SN,AS,shareera,431,23.88,13.66
SN,AS,shareera,432,24.84,13.91
SN,AS,shareera,433,24.34,12.88
SN,AS,shareera,434,23.26,12.8
SN,AS,shareera,435,20.2,12.55
SN,AS,shareera,436,21.62,12.77
SN,AS,shareera,437,23.01,13.02
SN,AS,shareera,438,24.32,13.29
SN,AS,shareera,439,24.62,13.41
SN,AS,shareera,440,22.56,12.72
SN,AS,shareera,441,23.22,12.64
SN,AS,shareera,442,21.25,11.74
SN,AS,shareera,443,21.08,11.68
SN,AS,shareera,444,20.47,11.82
SN,AS,shareera,445,21.58,12.73
SN,AS,shareera,446,21.27,13.0
SN,AS,shareera,447,22.77,13.6
SN,AS,shareera,448,24.06,14.08
SN,AS,shareera,449,22.51,13.67
SN,AS,shareera,450,20.55,12.88
SN,AS,shareera,451,20.24,12.89
SN,AS,shareera,452,19.07,12.66
SN,AS,shareera,453,20.0,13.35
SN,AS,shareera,454,21.2,13.92
SN,AS,shareera,455,19.35,12.81
SN,AS,shareera,456,17.91,12.09
SN,AS,shareera,457,17.29,12.15
SN,AS,shareera,458,17.45,12.44
SN,AS,shareera,459,17.72,12.51
SN,AS,shareera,460,17.98,12.43
SN,AS,shareera,461,16.88,11.7
SN,AS,shareera,462,17.34,12.17
SN,AS,shareera,463,17.17,11.82
SN,AS,shareera,464,17.88,11.76
SN,AS,shareera,465,18.03,11.74
SN,AS,shareera,466,17.26,11.32
SN,AS,shareera,467,18.05,10.77
SN,AS,shareera,468,18.21,10.87
SN,AS,shareera,469,19.03,10.71
SN,AS,shareera,470,19.13,10.22
SN,AS,shareera,471,20.36,10.51
SN,AS,shareera,472,21.67,10.23
SN,AS,shareera,473,21.6,9.66
SN,AS,shareera,474,21.34,9.21
SN,AS,shareera,475,19.85,9.19
SN,AS,shareera,476,19.2,9.24
SN,AS,shareera,477,19.65,8.84
SN,AS,shareera,478,19.06,8.43
SN,AS,shareera,479,19.55,8.25
SN,AS,shareera,480,20.59,8.75
SN,AS,shareera,481,19.61,8.98
SN,AS,shareera,482,19.77,8.89
SN,AS,shareera,483,22.17,9.09
SN,AS,shareera,484,21.11,8.62
SN,AS,shareera,485,22.9,8.89
SN,AS,shareera,486,22.81,8.81
SN,AS,shareera,487,20.98,7.73
SN,AS,shareera,488,20.58,7.92
SN,AS,shareera,489,20.0,8.11
SN,AS,shareera,490,18.6,7.9
SN,AS,shareera,491,18.14,8.5
SN,AS,shareera,492,18.88,9.19
SN,AS,shareera,493,17.82,9.07
SN,AS,shareera,494,17.89,8.76
SN,AS,shareera,495,16.66,8.47
SN,AS,shareera,496,16.22,8.24
SN,AS,shareera,497,15.85,7.99
SN,AS,shareera,498,16.14,8.79
SN,AS,shareera,499,16.47,9.1
SN,AS,shareera,500,18.06,8.74
SN,AS,shareera,501,17.07,8.18
SN,AS,shareera,502,16.42,9.04
SN,AS,shareera,503,16.35,9.35
SN,AS,shareera,504,16.55,9.58
SN,AS,shareera,505,16.51,9.72
SN,AS,shareera,506,17.88,10.26
SN,AS,shareera,507,17.75,10.93
SN,AS,shareera,508,18.6,11.35
SN,AS,shareera,509,19.58,12.25
SN,AS,shareera,510,18.82,12.11
SN,AS,shareera,511,20.27,12.5
SN,AS,shareera,512,22.41,14.46
SN,AS,shareera,513,23.33,14.89
SN,AS,shareera,514,22.99,14.9
SN,AS,shareera,515,22.18,14.63
SN,AS,shareera,516,22.08,13.88
SN,AS,shareera,517,22.56,13.84
SN,AS,shareera,518,22.71,13.66
SN,AS,shareera,519,24.61,14.1
SN,AS,shareera,520,24.22,13.4
SN,AS,shareera,521,22.64,12.87
SN,AS,shareera,522,24.8,12.58
SN,AS,shareera,523,25.72,12.42
SN,AS,shareera,524,25.17,12.45
SN,AS,shareera,525,25.21,12.79
SN,AS,shareera,526,26.03,13.31
SN,AS,shareera,527,23.74,12.4
SN,AS,shareera,528,23.2,12.02
SN,AS,shareera,529,23.61,11.79
SN,AS,shareera,530,23.03,11.63
SN,AS,shareera,531,22.06,11.21
SN,AS,shareera,532,22.97,11.28
SN,AS,shareera,533,21.91,10.86
SN,AS,shareera,534,22.03,10.35
SN,AS,shareera,535,20.24,10.71
SN,AS,shareera,536,21.9,10.8
SN,AS,shareera,537,19.61,8.89
SN,AS,shareera,538,18.6,8.13
SN,AS,shareera,539,18.53,7.99
SN,AS,shareera,540,18.87,7.89
SN,AS,shareera,541,17.47,7.95
SN,AS,shareera,542,18.25,8.05
SN,AS,shareera,543,18.28,7.9
SN,AS,shareera,544,19.05,8.91
SN,AS,shareera,545,20.03,9.89
SN,AS,shareera,546,19.59,10.16
SN,AS,shareera,547,21.7,11.58
SN,AS,shareera,548,23.46,12.37
SN,AS,shareera,549,23.21,12.64
SN,AS,shareera,550,24.31,12.65
SN,AS,shareera,551,27.35,14.11
SN,AS,shareera,552,28.23,14.77
SN,AS,shareera,553,25.69,14.48
SN,AS,shareera,554,25.28,14.11
SN,AS,shareera,555,24.05,14.4
SN,AS,shareera,556,24.59,15.04
SN,AS,shareera,557,23.14,14.29
SN,AS,shareera,558,22.29,14.46
SN,AS,shareera,559,21.94,14.28
SN,AS,shareera,560,22.0,14.2
SN,AS,shareera,561,21.39,14.29
SN,AS,shareera,562,21.28,14.56
SN,AS,shareera,563,21.92,14.76
SN,AS,shareera,564,23.56,15.22
SN,AS,shareera,565,23.08,14.88
SN,AS,shareera,566,23.17,14.9
SN,AS,shareera,567,23.87,14.76
SN,AS,shareera,568,24.21,15.0
SN,AS,shareera,569,24.12,14.94
SN,AS,shareera,570,26.03,14.76
SN,AS,shareera,571,25.02,14.49
SN,AS,shareera,572,21.48,12.17
SN,AS,shareera,573,20.52,11.34
SN,AS,shareera,574,19.1,10.75
SN,AS,shareera,575,18.8,10.48
SN,AS,shareera,576,16.38,8.7
SN,AS,shareera,577,17.11,8.68
SN,AS,shareera,578,17.42,9.18
SN,AS,shareera,579,18.63,9.84
SN,AS,shareera,580,18.84,10.0
SN,AS,shareera,581,17.82,10.17
SN,AS,shareera,582,18.52,10.22
SN,AS,shareera,583,17.89,10.43
SN,AS,shareera,584,18.32,10.47
SN,AS,shareera,585,18.53,10.13
SN,AS,shareera,586,19.24,10.4
SN,AS,shareera,587,19.06,10.39
SN,AS,shareera,588,18.51,9.76
SN,AS,shareera,589,18.54,8.98
SN,AS,shareera,590,17.87,8.74
SN,AS,shareera,591,18.47,8.34
SN,AS,shareera,592,18.92,7.82
SN,AS,shareera,593,18.84,7.78
SN,AS,shareera,594,20.93,7.37
SN,AS,shareera,595,23.03,7.87
SN,AS,shareera,596,23.6,8.24
SN,AS,shareera,597,23.31,8.47
SN,AS,shareera,598,24.36,8.84
SN,AS,shareera,599,24.42,9.0
SN,AS,shareera,600,25.31,9.46
SN,AS,shareera,601,26.7,10.15
SN,AS,shareera,602,25.93,10.17
SN,AS,shareera,603,26.34,10.76
SN,AS,shareera,604,28.44,11.46
